metal,ligand,n_configurations,delta_E_min,delta_E_max,delta_E_mean,delta_E_median
Co,O,22,-0.3565828424330174,-0.0541295013170569,-0.15378505273669624,-0.11233320974490076
Co,S,2,-0.0882133689004489,-0.0743776709351193,-0.0812955199177841,-0.0812955199177841
Cr,O,24,-0.2536050290405825,-0.0548594220890123,-0.12954260290272318,-0.0925143636829869
Cr,S,6,-0.1130756385898952,-0.0570335511759461,-0.08459123227564636,-0.08320653100542474
Cu,O,1,-0.4481761697967984,-0.4481761697967984,-0.4481761697967984,-0.4481761697967984
Cu,S,4,-0.3308447819725019,-0.0798072845307308,-0.1570156314574137,-0.10870522966321106
Fe,O,77,-0.4179007291083483,-0.0559842649640556,-0.1366414010901948,-0.1152735758588819
Fe,S,8,-0.1163896643480806,-0.0637735698654788,-0.09198631431932096,-0.0973397001638106
Hf,O,8,-0.1581966049088147,-0.0425218887428238,-0.11666438877992927,-0.1561104213018747
Mn,O,34,-0.5650836296435212,-0.0295446086034763,-0.15228678368544932,-0.1048473474896464
Mo,O,1,-0.095623290981335,-0.095623290981335,-0.095623290981335,-0.095623290981335
Mo,S,4,-0.1586130006063377,-0.065983674271478,-0.1125575566412042,-0.11281677584350056
Nb,O,16,-0.2345078647211213,-0.0593780019443679,-0.1146027537326274,-0.09590432197362506
Nb,S,10,-1.0842023921852435,-0.0649555658660609,-0.28378910528042456,-0.1829049231620461
Ni,O,19,-0.2641469386601428,-0.0548140802716701,-0.12113617943006935,-0.0938568647581375
Ni,S,6,-0.3366414857509834,-0.0833111801199243,-0.16103556420876902,-0.1320928384709826
Pd,O,2,-0.3659186590475132,-0.0571638749003818,-0.21154126697394748,-0.21154126697394748
Pd,S,3,-0.1654040371581073,-0.0703960055736158,-0.11659404733553601,-0.1139820992748849
Rh,O,4,-0.1432233008240765,-0.0685411233742755,-0.09036413217519962,-0.07484605225122326
Rh,S,1,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264
Sc,O,7,-0.4387089915759971,-0.0558396062275589,-0.20544994888123372,-0.2062311133974364
Sc,S,3,-0.277944709160809,-0.0646852634887339,-0.13684470199516094,-0.0679041333359399
Ta,O,6,-0.2558979205585986,-0.0552771738854162,-0.1217265671302374,-0.10455943520357511
Ta,S,5,-0.2798808034141286,-0.112687211608369,-0.18343747124543994,-0.1428106150897239
Tc,O,1,-0.3130755057089796,-0.3130755057089796,-0.3130755057089796,-0.3130755057089796
Ti,O,92,-1.6057661461466,-0.0514449279103111,-0.32469470067210926,-0.159868992838047
Ti,S,8,-0.7069226199479104,-0.0528628078659885,-0.2613046574320278,-0.13877790975424364
V,O,123,-0.6891613514457486,-0.0156082497563143,-0.10317506189143344,-0.0843357170127442
V,S,8,-0.4423245653306554,-0.0568080103591953,-0.16449024186941344,-0.10467020300274824
Y,O,12,-0.6326966991093348,-0.0677406436488581,-0.3218470340464283,-0.2521554764933852
Y,S,3,-0.2155435175171478,-0.0994782563188775,-0.14590877084780177,-0.12270453870738
Zn,O,5,-0.2045787050979867,-0.1136383585203062,-0.18398881165149458,-0.2038882237641298
Zn,S,98,-0.2049524028841517,-0.0591086933613166,-0.10263519109744329,-0.1079162499164326
Zr,O,18,-0.3419377176395782,-0.0592407180916191,-0.161892973731804,-0.13373936206182202
Zr,S,11,-0.7231444753281236,-0.0533113712157117,-0.3429570790727738,-0.3752555337196583
