pair,ligand,n_configurations,delta_E_min,delta_E_max,delta_E_mean,delta_E_median
Ba-Ca,O,3,-0.1360000797166174,-0.0636623686656744,-0.09026505215201686,-0.0711327080737588
Ba-Cs,O,3,-0.1280173843596677,-0.0757761346335604,-0.10045255000231479,-0.0975641310137163
Ba-Li,O,2,-0.294433136649283,-0.2843296271860232,-0.2893813819176531,-0.2893813819176531
Ba-Mg,O,2,-0.1725373180014359,-0.0726752665787847,-0.1226062922901103,-0.1226062922901103
Ba-Na,O,9,-0.3781585590386352,-0.0636297924539813,-0.17199127371771014,-0.1438781355420102
Ba-Sr,O,3,-0.1271229568344997,-0.0705232647300662,-0.09139608234714842,-0.0765420254768794
Be-Ca,O,1,-0.2312645271420709,-0.2312645271420709,-0.2312645271420709,-0.2312645271420709
Be-Cs,O,1,-0.0867891696344367,-0.0867891696344367,-0.0867891696344367,-0.0867891696344367
Be-K,O,3,-0.1066606578102634,-0.0602922974007852,-0.08909280418461961,-0.1003254573428102
Be-Na,O,6,-0.2672822139103636,-0.057107620045655,-0.12512393441793807,-0.10119852499624975
Be-Rb,O,3,-0.0951328837128353,-0.074320818346162,-0.08125817346838643,-0.074320818346162
Be-Sr,O,1,-0.0564663187782247,-0.0564663187782247,-0.0564663187782247,-0.0564663187782247
Ca-Cs,O,1,-0.0916648706838207,-0.0916648706838207,-0.0916648706838207,-0.0916648706838207
Ca-Sr,O,2,-0.0656318803641605,-0.0612419592001643,-0.0634369197821624,-0.0634369197821624
Cs-Li,O,2,-0.0755136432818384,-0.07339573758885,-0.0744546904353442,-0.0744546904353442
Cs-Mg,O,1,-0.1677527347899395,-0.1677527347899395,-0.1677527347899395,-0.1677527347899395
Cs-Rb,O,2,-0.2947398697226531,-0.0813441923487838,-0.18804203103571845,-0.18804203103571845
Cs-Sr,O,1,-0.0808442073719472,-0.0808442073719472,-0.0808442073719472,-0.0808442073719472
K-Li,O,2,-0.1040491613141367,-0.0789905275271748,-0.09151984442065575,-0.09151984442065575
K-Li,S,2,-0.0562048378031884,-0.0559312829677578,-0.0560680603854731,-0.0560680603854731
K-Mg,O,3,-0.1466220743174632,-0.1014048476586742,-0.12887629335424647,-0.138601958086602
K-Na,S,1,-0.1010713229012991,-0.1010713229012991,-0.1010713229012991,-0.1010713229012991
K-Rb,O,1,-0.0765062439209751,-0.0765062439209751,-0.0765062439209751,-0.0765062439209751
K-Rb,S,1,-0.0990123655642354,-0.0990123655642354,-0.0990123655642354,-0.0990123655642354
K-Sr,O,1,-0.1067479725891064,-0.1067479725891064,-0.1067479725891064,-0.1067479725891064
Li-Na,O,2,-0.1061742912071773,-0.0590997654826328,-0.08263702834490505,-0.08263702834490505
Li-Na,S,1,-0.0587815826525869,-0.0587815826525869,-0.0587815826525869,-0.0587815826525869
Li-Rb,O,2,-0.0918311757408767,-0.0696044569504817,-0.0807178163456792,-0.0807178163456792
Mg-Na,O,3,-0.1737583390490534,-0.115570912953621,-0.1433950856426013,-0.1408560049251295
Mg-Rb,O,3,-0.196385547747716,-0.0863639753520125,-0.12391480652181519,-0.0889948964657171
