metal,ligand,n_configurations,delta_E_min,delta_E_max,delta_E_mean,delta_E_median,electronegativity
Co,O,22,-0.3565828424330174,-0.0541295013170569,-0.1537850527366962,-0.1123332097449007,1.88
Co,S,2,-0.0882133689004489,-0.0743776709351193,-0.0812955199177841,-0.0812955199177841,1.88
Cr,O,24,-0.2536050290405825,-0.0548594220890123,-0.1295426029027231,-0.0925143636829869,1.66
Cr,S,6,-0.1130756385898952,-0.0570335511759461,-0.0845912322756463,-0.0832065310054247,1.66
Cu,O,1,-0.4481761697967984,-0.4481761697967984,-0.4481761697967984,-0.4481761697967984,1.9
Cu,S,4,-0.3308447819725019,-0.0798072845307308,-0.1570156314574137,-0.108705229663211,1.9
Fe,O,77,-0.4179007291083483,-0.0559842649640556,-0.1366414010901948,-0.1152735758588819,1.83
Fe,S,8,-0.1163896643480806,-0.0637735698654788,-0.0919863143193209,-0.0973397001638106,1.83
Hf,O,8,-0.1581966049088147,-0.0425218887428238,-0.1166643887799292,-0.1561104213018747,1.3
Mn,O,34,-0.5650836296435212,-0.0295446086034763,-0.1522867836854493,-0.1048473474896464,1.55
Mo,O,1,-0.095623290981335,-0.095623290981335,-0.095623290981335,-0.095623290981335,2.16
Mo,S,4,-0.1586130006063377,-0.065983674271478,-0.1125575566412042,-0.1128167758435005,2.16
Nb,O,16,-0.2345078647211213,-0.0593780019443679,-0.1146027537326274,-0.095904321973625,1.6
Nb,S,10,-1.0842023921852435,-0.0649555658660609,-0.2837891052804245,-0.1829049231620461,1.6
Ni,O,19,-0.2641469386601428,-0.0548140802716701,-0.1211361794300693,-0.0938568647581375,1.91
Ni,S,6,-0.3366414857509834,-0.0833111801199243,-0.161035564208769,-0.1320928384709826,1.91
Pd,O,2,-0.3659186590475132,-0.0571638749003818,-0.2115412669739474,-0.2115412669739474,2.2
Pd,S,3,-0.1654040371581073,-0.0703960055736158,-0.116594047335536,-0.1139820992748849,2.2
Rh,O,4,-0.1432233008240765,-0.0685411233742755,-0.0903641321751996,-0.0748460522512232,2.28
Rh,S,1,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,2.28
Sc,O,7,-0.4387089915759971,-0.0558396062275589,-0.2054499488812337,-0.2062311133974364,1.36
Sc,S,3,-0.277944709160809,-0.0646852634887339,-0.1368447019951609,-0.0679041333359399,1.36
Ta,O,6,-0.2558979205585986,-0.0552771738854162,-0.1217265671302374,-0.1045594352035751,1.5
Ta,S,5,-0.2798808034141286,-0.112687211608369,-0.1834374712454399,-0.1428106150897239,1.5
Tc,O,1,-0.3130755057089796,-0.3130755057089796,-0.3130755057089796,-0.3130755057089796,1.9
Ti,O,92,-1.6057661461466,-0.0514449279103111,-0.3246947006721092,-0.159868992838047,1.54
Ti,S,8,-0.7069226199479104,-0.0528628078659885,-0.2613046574320278,-0.1387779097542436,1.54
V,O,123,-0.6891613514457486,-0.0156082497563143,-0.1031750618914334,-0.0843357170127442,1.63
V,S,8,-0.4423245653306554,-0.0568080103591953,-0.1644902418694134,-0.1046702030027482,1.63
Y,O,12,-0.6326966991093348,-0.0677406436488581,-0.3218470340464283,-0.2521554764933852,1.22
Y,S,3,-0.2155435175171478,-0.0994782563188775,-0.1459087708478017,-0.12270453870738,1.22
Zn,O,5,-0.2045787050979867,-0.1136383585203062,-0.1839888116514945,-0.2038882237641298,1.65
Zn,S,98,-0.2049524028841517,-0.0591086933613166,-0.1026351910974432,-0.1079162499164326,1.65
Zr,O,18,-0.3419377176395782,-0.0592407180916191,-0.161892973731804,-0.133739362061822,1.33
Zr,S,11,-0.7231444753281236,-0.0533113712157117,-0.3429570790727738,-0.3752555337196583,1.33
