metal,ligand,n_configurations,delta_E_min,delta_E_max,delta_E_mean,delta_E_median,electronegativity
Ba,O,12,-0.7225909634722566,-0.0722170747478375,-0.4259278150400958,-0.4732630027873927,0.89
Ba,S,1,-0.0584917790466334,-0.0584917790466334,-0.0584917790466334,-0.0584917790466334,0.89
Be,O,5,-0.1989833517916587,-0.1682507219686706,-0.1863450755256906,-0.1867070106368138,1.57
Ca,O,4,-0.5807133744221771,-0.1641206222546675,-0.4723928660911909,-0.5723687338439596,1.0
Cs,O,5,-0.2715798527919763,-0.0428886752085408,-0.1136306485140552,-0.085361462331539,0.79
Cs,S,2,-0.0822822675601371,-0.0596028647838611,-0.0709425661719991,-0.0709425661719991,0.79
K,O,6,-0.1965213530310383,-0.0522556268875159,-0.1306939015823903,-0.1351392619467288,0.82
K,S,4,-0.0745338624712088,-0.0662771560226026,-0.0711643370278657,-0.0719231648088258,0.82
Li,O,7,-1.0107886950057,-0.0549232533226787,-0.5924150392338622,-0.9362427315035566,0.98
Li,S,3,-0.2949795639141629,-0.1329885722114362,-0.2392586813302162,-0.2898079078650494,0.98
Mg,O,14,-0.2688980788391594,-0.010811664488489,-0.1598929324645816,-0.2324412831506104,1.31
Mg,S,1,-1.617398561098014,-1.617398561098014,-1.617398561098014,-1.617398561098014,1.31
Na,O,10,-0.7187373384955631,-0.0539333665176588,-0.2153472896747734,-0.0853373791418344,0.93
Na,S,3,-0.1030999303781098,-0.0649552554510592,-0.0784005239725801,-0.0671463860885715,0.93
Rb,O,10,-0.3113070302590912,-0.0622402467213465,-0.1361379139771324,-0.1029338614412209,0.82
Rb,S,3,-0.0908395282624128,-0.0651364789364117,-0.0743686059656927,-0.0671298106982537,0.82
Sr,O,2,-0.0529707102085289,-0.0529467655088845,-0.0529587378587066,-0.0529587378587066,0.95
