block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,metal
d-block,Ti-O,O,Ti3O_1245140_POSCAR,-1.6057661461466,15.6594515541,-2.1655940549633,-0.5598279088167002,14.0395082899,26.4590733156,35,local_max_drop,Ti
d-block,Ti-O,O,Ti3O_1245176_POSCAR,-1.602777455891307,15.8280423853,-2.1683140458917,-0.5655365900003927,14.1906586902,26.7439336855,35,local_max_drop,Ti
d-block,Ti-O,O,Ti3O_1244956_POSCAR,-1.531324829410181,16.5855760455,-2.1044900212952,-0.5731651918850189,14.8698267994,28.0239043528,35,local_max_drop,Ti
d-block,Ti-O,O,Ti2O_1245186_POSCAR,-1.3910837705758354,15.7968916122,-1.8991198357901,-0.5080360652142646,14.1627304109,26.6912996206,35,local_max_drop,Ti
d-block,Ti-O,O,Ti2O_1245309_POSCAR,-1.3818686716856257,16.1719757344,-1.9120784416738,-0.5302097699881742,15.0168346105,28.3009575352,35,local_max_drop,Ti
d-block,Ti-O,O,Ti2O_1245066_POSCAR,-1.3776148011834228,15.3345602303,-1.8988272218312,-0.5212124206477771,13.7482264134,25.9101190098,35,local_max_drop,Ti
d-block,Ti-O,O,Ti2O_1245206_POSCAR,-1.3504474473914758,15.7002614937,-1.8797256284916,-0.529278181100124,14.5788142442,27.475457614,35,local_max_drop,Ti
d-block,Ti-O,O,Ti2O_1244955_POSCAR,-1.3375795218558078,16.1623987106,-1.8838729405441,-0.5462934186882922,15.0079416598,28.2841977435,35,local_max_drop,Ti
d-block,Nb-S,S,Nb14S5_683941_POSCAR,-1.0842023921852435,4.9286324035,-1.697372122885,-0.6131697306997566,4.2488210375,8.3276892335,35,local_max_drop,Nb
d-block,Ti-O,O,TiO_1245294_POSCAR,-0.8772661798674313,15.31471241,-1.2608821403681,-0.3836159605006687,13.7304318158,25.8765830375,35,local_max_drop,Ti
d-block,Ti-O,O,TiO_1244944_POSCAR,-0.8729756938612376,15.463252883,-1.2584854593046,-0.3855097654433623,13.8636060331,26.1275652161,35,local_max_drop,Ti
d-block,Ti-O,O,TiO_1245141_POSCAR,-0.8661566572037951,15.6586610308,-1.244778833053,-0.3786221758492049,14.0387995448,26.4577376037,35,local_max_drop,Ti
d-block,Ti-O,O,TiO_1244926_POSCAR,-0.8644467268983845,15.1174301533,-1.2543197941453,-0.3898730672469154,13.5535580685,25.5432440521,35,local_max_drop,Ti
d-block,Ti-O,O,TiO_1245324_POSCAR,-0.8495392792618922,15.0616903486,-1.2216638263225,-0.3721245470606077,13.5035844505,25.4490630028,35,local_max_drop,Ti
d-block,Zr-S,S,Zr9S2_27191_POSCAR,-0.7231444753281236,12.9443538584,-1.0237220959323,-0.3005776206041762,10.7125687104,21.8714944503,35,local_max_drop,Zr
