chemsys,n_configs,best_delta_E,mean_delta_E,metal,ligand
Ti-O,92,-1.6057661461466,-0.32469470067210926,Ti,O
Nb-S,10,-1.0842023921852435,-0.28378910528042456,Nb,S
Zr-S,11,-0.7231444753281236,-0.3429570790727738,Zr,S
Ti-S,8,-0.7069226199479104,-0.2613046574320278,Ti,S
V-O,123,-0.6891613514457486,-0.10317506189143344,V,O
Y-O,12,-0.6326966991093348,-0.3218470340464283,Y,O
Mn-O,34,-0.5650836296435212,-0.15228678368544932,Mn,O
Cu-O,1,-0.4481761697967984,-0.4481761697967984,Cu,O
V-S,8,-0.4423245653306554,-0.16449024186941344,V,S
Sc-O,7,-0.4387089915759971,-0.20544994888123372,Sc,O
Fe-O,77,-0.4179007291083483,-0.1366414010901948,Fe,O
Pd-O,2,-0.3659186590475132,-0.21154126697394748,Pd,O
Co-O,22,-0.3565828424330174,-0.15378505273669624,Co,O
Zr-O,18,-0.3419377176395782,-0.161892973731804,Zr,O
Ni-S,6,-0.3366414857509834,-0.16103556420876902,Ni,S
Cu-S,4,-0.3308447819725019,-0.1570156314574137,Cu,S
Tc-O,1,-0.3130755057089796,-0.3130755057089796,Tc,O
Ta-S,5,-0.2798808034141286,-0.18343747124543994,Ta,S
Sc-S,3,-0.277944709160809,-0.13684470199516094,Sc,S
Ni-O,19,-0.2641469386601428,-0.12113617943006935,Ni,O
Ta-O,6,-0.2558979205585986,-0.1217265671302374,Ta,O
Rh-S,1,-0.2544271733254264,-0.2544271733254264,Rh,S
Cr-O,24,-0.2536050290405825,-0.12954260290272318,Cr,O
Nb-O,16,-0.2345078647211213,-0.1146027537326274,Nb,O
Y-S,3,-0.2155435175171478,-0.14590877084780177,Y,S
Zn-S,98,-0.2049524028841517,-0.10263519109744329,Zn,S
Zn-O,5,-0.2045787050979867,-0.18398881165149458,Zn,O
Pd-S,3,-0.1654040371581073,-0.11659404733553601,Pd,S
Mo-S,4,-0.1586130006063377,-0.1125575566412042,Mo,S
Hf-O,8,-0.1581966049088147,-0.11666438877992927,Hf,O
Rh-O,4,-0.1432233008240765,-0.09036413217519962,Rh,O
Fe-S,8,-0.1163896643480806,-0.09198631431932096,Fe,S
Cr-S,6,-0.1130756385898952,-0.08459123227564636,Cr,S
Mo-O,1,-0.095623290981335,-0.095623290981335,Mo,O
Co-S,2,-0.0882133689004489,-0.0812955199177841,Co,S
