block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,metal
s-block,Mg-O,O,MgO_1180973_POSCAR,-0.0699799487304734,4.4798256535,-0.12863145092456,-0.0586515021940865,3.8825155664,7.3170485675,35,local_max_drop,Mg
s-block,Mg-O,O,MgO_1190649_POSCAR,-0.0685770043871701,19.2829373425,-0.12810672628754,-0.0595297219003698,16.7118790302,31.4954643261,35,local_max_drop,Mg
s-block,Na-S,S,NaS2_12180_POSCAR,-0.0671463860885715,11.3240765052,-0.17027072920015,-0.1031243431115784,10.1107825939,19.817133884,35,local_max_drop,Na
s-block,Rb-S,S,Rb2S5_16911_POSCAR,-0.0671298106982537,9.89608734,-0.14842788035514,-0.0812980696568862,8.906478606,16.163609322,35,local_max_drop,Rb
s-block,K-S,S,KS3_1196514_POSCAR,-0.0662771560226026,9.1124341521,-0.16202748944575,-0.0957503334231473,8.1697685502,15.3968714984,35,local_max_drop,K
s-block,Rb-S,S,RbS_9062_POSCAR,-0.0651364789364117,13.8108549655,-0.10516064120663,-0.0400241622702182,12.474320614,21.8300610745,35,local_max_drop,Rb
s-block,Na-S,S,NaS_409_POSCAR,-0.0649552554510592,10.595266248,-0.1241471750889,-0.0591919196378407,9.46005915,18.541715934,35,local_max_drop,Na
s-block,Rb-O,O,Rb2O_2023482_POSCAR,-0.0645091024884218,11.7959154483,-0.084509540945503,-0.0200004384570811,10.4478108256,16.5142816276,35,local_max_drop,Rb
s-block,Rb-O,O,Rb2O_776922_POSCAR,-0.0622402467213465,12.567758266,-0.081529900866502,-0.0192896541451554,11.08919847,18.112357501,35,local_max_drop,Rb
s-block,Cs-S,S,Cs2S5_1193140_POSCAR,-0.0596028647838611,11.010901568,-0.12202010021021,-0.0624172354263488,9.978629546,16.860443026,35,local_max_drop,Cs
s-block,Mg-O,O,MgO_1191789_POSCAR,-0.0586250071292787,13.101644168,-0.11053265935111,-0.0519076522218312,11.3547582789,21.399352141,35,local_max_drop,Mg
s-block,Ba-S,S,Ba2S3_28978_POSCAR,-0.0584917790466334,8.3330830612,-0.089565271116548,-0.0310734920699145,7.1836922942,14.0800368965,35,local_max_drop,Ba
s-block,Li-O,O,Li2O2_558312_POSCAR,-0.0549232533226787,5.5047190275,-0.072363276247678,-0.0174400229249992,4.67067069,8.1736737075,35,local_max_drop,Li
s-block,Na-O,O,Na2O_755072_POSCAR,-0.0539333665176588,8.499221248,-0.075820088572697,-0.0218867220550381,7.436818592,13.014432536,35,local_max_drop,Na
s-block,Sr-O,O,SrO2_1545805_POSCAR,-0.0529707102085289,12.228559949,-0.083337477402698,-0.030366767194169,11.385210987,20.662049569,35,local_max_drop,Sr
s-block,Sr-O,O,SrO2_2763179_POSCAR,-0.0529467655088845,6.09880991,-0.08328400985683,-0.0303372443479454,5.67820233,10.30488571,35,local_max_drop,Sr
s-block,K-O,O,K2O_998915_POSCAR,-0.0522556268875159,7.154939481,-0.066231990450721,-0.0139763635632051,6.313181895,10.3115304285,35,local_max_drop,K
s-block,Cs-O,O,Cs7O_561735_POSCAR,-0.0428886752085408,21.688850521,-0.147493495131,-0.1046048199224591,25.025596755,40.8751413665,35,local_max_drop,Cs
s-block,Mg-O,O,MgO_1192189_POSCAR,-0.0132268843109139,4.44080628,-0.19426203420629,-0.181035149895376,4.292779404,7.253316924,35,local_max_drop,Mg
s-block,Mg-O,O,MgO_1192043_POSCAR,-0.010811664488489,8.7888871721,-0.14947759524667,-0.1386659307581809,8.4959242664,14.3551823812,35,local_max_drop,Mg
