chemsys,n_configs,best_delta_E,mean_delta_E,metal,ligand
Mg-S,1,-1.617398561098014,-1.617398561098014,Mg,S
Li-O,7,-1.0107886950057,-0.5924150392338622,Li,O
Ba-O,12,-0.7225909634722566,-0.42592781504009586,Ba,O
Na-O,10,-0.7187373384955631,-0.2153472896747734,Na,O
Ca-O,4,-0.5807133744221771,-0.4723928660911909,Ca,O
Rb-O,10,-0.3113070302590912,-0.13613791397713243,Rb,O
Li-S,3,-0.2949795639141629,-0.2392586813302162,Li,S
Cs-O,5,-0.2715798527919763,-0.11363064851405524,Cs,O
Mg-O,14,-0.2688980788391594,-0.15989293246458164,Mg,O
Be-O,5,-0.1989833517916587,-0.18634507552569066,Be,O
K-O,6,-0.1965213530310383,-0.13069390158239033,K,O
Na-S,3,-0.1030999303781098,-0.07840052397258017,Na,S
Rb-S,3,-0.0908395282624128,-0.07436860596569274,Rb,S
Cs-S,2,-0.0822822675601371,-0.0709425661719991,Cs,S
K-S,4,-0.0745338624712088,-0.07116433702786577,K,S
Ba-S,1,-0.0584917790466334,-0.0584917790466334,Ba,S
Sr-O,2,-0.0529707102085289,-0.052958737858706695,Sr,O
