block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method
d-block,Co-O,O,CoO_1245089_POSCAR,-0.3565828424330174,12.6013833719,-0.70614761622615,-0.34956477379313255,11.5932727021,24.6987114089,35,local_max_drop
d-block,Co-O,O,CoO_1245304_POSCAR,-0.3275817646574399,12.8282520109,-0.67318304919288,-0.3456012845354401,11.80199185,25.1433739413,35,local_max_drop
d-block,Co-O,O,CoO_1244939_POSCAR,-0.3274956693999747,13.4604787084,-0.67297930520125,-0.34548363580127534,11.9073465498,25.3678252582,35,local_max_drop
d-block,Co-O,O,CoO_1244882_POSCAR,-0.3076260919169628,12.4927407614,-0.65537407466901,-0.3477479827520472,11.4933215005,24.4857718923,35,local_max_drop
d-block,Co-O,O,Co29O40_705563_POSCAR,-0.2357211218030979,9.905846033,-0.54031480659263,-0.3045936847895321,9.1438578766,18.6687098314,35,local_max_drop
d-block,Co-O,O,Co23O32_2740066_POSCAR,-0.2154522414443121,9.8910394103,-0.43595153022094,-0.22049928877662792,8.4257002384,17.9504048558,35,local_max_drop
d-block,Co-O,O,Co23O32_705564_POSCAR,-0.20435103238642946,9.8040115447,-0.43332187480738,-0.22897084242095053,8.6727794434,18.4767909882,35,local_max_drop
d-block,Co-O,O,Co21O40_850026_POSCAR,-0.14524145151534285,13.0868100095,-0.31046804622078,-0.16522659470543716,12.1174166754,23.7501366839,35,local_max_drop
d-block,Co-O,O,CoO2_1245099_POSCAR,-0.1288889248171587,14.4740555025,-0.36109991202129,-0.2322109872041313,12.8658271133,26.2677303564,35,local_max_drop
d-block,Co-O,O,CoO2_1244948_POSCAR,-0.12160831518381754,12.7197680699,-0.38157742180683,-0.2599691066230125,11.7413243722,23.9718705932,35,local_max_drop
d-block,Co-O,O,CoO2_1245119_POSCAR,-0.11594256953624837,13.3305359192,-0.34326266199667,-0.22732009246042162,12.3051100792,25.1229330784,35,local_max_drop
d-block,Co-O,O,CoO2_1245011_POSCAR,-0.10872384995355322,13.4968241509,-0.34506697884322,-0.2363431288896668,12.4586069085,25.4363224383,35,local_max_drop
d-block,Co-O,O,Co15O28_766681_POSCAR,-0.09868167522830343,9.8993691099,-0.21732010699529,-0.11863843176698657,9.1660825092,17.965521718,35,local_max_drop
d-block,Co-O,O,Co5O7_1046082_POSCAR,-0.09612177955888127,6.680741665,-0.18355617776243,-0.08743439820354873,5.652935255,12.5906285225,35,local_max_drop
d-block,Co-O,O,CoO2_1244867_POSCAR,-0.0959124657646864,14.6982387677,-0.32244037436292,-0.2265279085982336,13.0651011268,26.6745814673,35,local_max_drop
d-block,Co-O,O,CoO2_1349907_POSCAR,-0.08947249538448618,6.6778999083,-0.22520604456196,-0.13573354917747382,6.1832406558,12.1191516854,35,local_max_drop
d-block,Co-O,O,Co9O13_1343966_POSCAR,-0.08227244789027484,6.6116053468,-0.16651703922022,-0.08424459132994515,6.1030203202,12.4603331537,35,local_max_drop
d-block,Co-O,O,CoO2_1359404_POSCAR,-0.07510925049317492,7.6587476265,-0.1689489031644,-0.09383965267122509,7.0914329875,13.8992086555,35,local_max_drop
d-block,Co-O,O,CoO2_1356781_POSCAR,-0.070898439215934,7.63163937,-0.16654330117843,-0.095644861962496,7.06633275,13.85001219,35,local_max_drop
d-block,Co-O,O,Co2O3_1043418_POSCAR,-0.07076259009296232,6.695793312,-0.14459592567031,-0.07383333557734767,6.180732288,12.618995088,35,local_max_drop
d-block,Co-O,O,Co3O4_1271793_POSCAR,-0.05469464021420285,6.5807666898,-0.11750007019985,-0.06280542998564714,6.0745538675,12.4022141462,35,local_max_drop
d-block,Co-O,O,CoO_19275_POSCAR,-0.05412950131705698,4.6241660534,-0.10077043686479,-0.04664093554773301,4.4314924678,9.4410056923,35,local_max_drop
d-block,Co-S,S,Co2S3_684732_POSCAR,-0.08821336890044898,8.9754723879,-0.27861598196128,-0.19040261306083103,8.3343672173,15.7070766788,35,local_max_drop
d-block,Co-S,S,Co3S_1183733_POSCAR,-0.07437767093511932,6.958500048,-0.1416250117928,-0.06724734085768067,6.4430556,12.628388976,35,local_max_drop
d-block,Cr-O,O,Cr2O3_1245208_POSCAR,-0.2536050290405825,13.7587520257,-0.62820538956521,-0.3746003605246275,12.739585209,24.9695870097,35,local_max_drop
d-block,Cr-O,O,Cr2O3_1245247_POSCAR,-0.2517772343700338,13.6163371276,-0.6057048467918,-0.35392761242176624,12.6077195626,24.7111303428,35,local_max_drop
d-block,Cr-O,O,Cr2O3_1245257_POSCAR,-0.23123670781885736,13.2928737664,-0.59865597608984,-0.36741926827098265,12.3082164503,24.1241042427,35,local_max_drop
d-block,Cr-O,O,Cr2O3_1245064_POSCAR,-0.23036423425099367,14.1830061744,-0.59242419339894,-0.36205995914794636,13.1324131244,25.7395297239,35,local_max_drop
d-block,Cr-O,O,Cr2O3_1244912_POSCAR,-0.21499149226120573,13.4011938194,-0.58837731004567,-0.3733858177844642,12.4085127957,24.3206850796,35,local_max_drop
d-block,Cr-O,O,Cr2O3_1244988_POSCAR,-0.21198241523669226,13.7776409009,-0.5684113847102,-0.3564289694735078,12.7570749083,25.0038668202,35,local_max_drop
d-block,Cr-O,O,Cr2O3_1245327_POSCAR,-0.2092457943312902,13.538344552,-0.53606810373723,-0.3268223094059398,12.5355042148,24.5695882611,35,local_max_drop
d-block,Cr-O,O,Cr2O3_1245091_POSCAR,-0.20400533601434895,13.7378450548,-0.56837456719815,-0.3643692311838011,12.7202269026,24.931644729,35,local_max_drop
d-block,Cr-O,O,Cr2O3_776873_POSCAR,-0.1566445703211001,8.861329175,-0.36777093448897,-0.21112636416786992,8.2049344213,16.0816714658,35,local_max_drop
d-block,Cr-O,O,CrO_754983_POSCAR,-0.09622574046413777,7.196225,-0.21050040890763,-0.11427466844349222,6.908376,14.104601,35,local_max_drop
d-block,Cr-O,O,Cr3O_714896_POSCAR,-0.09612544407336363,6.006081655,-0.16874525404604,-0.07261980997267636,5.5255951226,11.7719200438,35,local_max_drop
d-block,Cr-O,O,Cr5O7_1046050_POSCAR,-0.09459139995750948,7.158226905,-0.22124522427484,-0.12665382431733052,6.36286836,12.990856235,35,local_max_drop
d-block,Cr-O,O,Cr6O11_1213798_POSCAR,-0.09043732740846447,7.3810813712,-0.23322958962437,-0.14279226221590552,6.8538612732,12.9168923995,35,local_max_drop
d-block,Cr-O,O,Cr9O13_1045826_POSCAR,-0.0832461624561606,7.0000505953,-0.19586267746696,-0.11261651501079942,6.2222671959,12.7037955249,35,local_max_drop
d-block,Cr-O,O,Cr2O3_755749_POSCAR,-0.08195009046611691,6.8031499725,-0.19578106839912,-0.11383097793300308,6.2992129375,12.3464573575,35,local_max_drop
d-block,Cr-O,O,CrO2_1358572_POSCAR,-0.0748886432548826,7.1874900487,-0.18443893496864,-0.1095502917137574,6.6740979023,12.5781075852,35,local_max_drop
d-block,Cr-O,O,Cr2O3_1043379_POSCAR,-0.07354584038584616,6.9798066525,-0.17057275719949,-0.09702691681364384,6.4627839375,12.6670565175,35,local_max_drop
d-block,Cr-O,O,Cr3O_20609_POSCAR,-0.0716424228569324,6.2615892,-0.14636588050573,-0.07472345764879759,6.00068965,12.78407795,35,local_max_drop
d-block,Cr-O,O,CrO2_1040967_POSCAR,-0.07141389640591737,8.3506360986,-0.18125174095706,-0.10983784455114264,7.7541620916,14.6136131726,35,local_max_drop
d-block,Cr-O,O,CrO_1178414_POSCAR,-0.0707889075514665,20.7674975,-0.15417424141458,-0.0833853338631135,19.9367976,40.7042951,35,local_max_drop
d-block,Cr-O,O,Cr3O4_756253_POSCAR,-0.06276968083982605,7.8945200082,-0.13590016868099,-0.07313048784116395,7.0173511184,14.3270918667,35,local_max_drop
d-block,Cr-O,O,Cr3O4_1310867_POSCAR,-0.06258795302180523,7.9738017486,-0.13573487674993,-0.07314692372812479,7.0878237766,14.4709735438,35,local_max_drop
d-block,Cr-O,O,CrO_755286_POSCAR,-0.06009672478881091,3.75583375,-0.13598409510745,-0.07588737031863908,3.6056004,7.36143415,35,local_max_drop
d-block,Cr-O,O,CrO2_1044871_POSCAR,-0.0548594220890123,7.31283,-0.12291050044974,-0.0680510783607277,6.790485,12.7974525,35,local_max_drop
d-block,Cr-S,S,Cr19S30_1226578_POSCAR,-0.11307563858989522,11.4349697141,-0.36683262880295,-0.25375699021305476,11.0114523173,20.7523524441,35,local_max_drop
d-block,Cr-S,S,Cr19S30_1226930_POSCAR,-0.11290584895768052,11.4318837676,-0.36628290018809,-0.2533770512304095,11.0084806651,20.7467520227,35,local_max_drop
d-block,Cr-S,S,Cr5S8_684674_POSCAR,-0.08858947315791468,11.0348763852,-0.29006654011405,-0.2014770669561353,10.6261772598,20.0262571435,35,local_max_drop
d-block,Cr-S,S,Cr5S6_1311_POSCAR,-0.07782358885293492,8.025549201,-0.21882935513062,-0.14100576627768507,7.431064075,14.564885587,35,local_max_drop
d-block,Cr-S,S,Cr5S8_1181961_POSCAR,-0.05811929291950696,8.0380940678,-0.19436433665406,-0.13624504373455304,7.7403868801,14.5876521971,35,local_max_drop
