block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method
d-block,Co-Cd-O,Co,Cd,O,Cd_CoO2_2_1178482_POSCAR,-0.09639214536438155,13.74564,-0.21288487442807,-0.11649272906368845,12.0961632,26.9414544,35,local_max_drop
d-block,Co-Cd-O,Co,Cd,O,Cd_CoO2_2_769705_POSCAR,-0.0956106134841418,6.586824466,-0.20863903217394,-0.11302841868979821,5.5734668558,12.4136307244,35,local_max_drop
d-block,Co-Cd-O,Co,Cd,O,Cd_CoO2_2_754042_POSCAR,-0.09413032847243447,6.5799237532,-0.20589098842621,-0.11176065995377554,5.6051202342,11.9413431077,35,local_max_drop
d-block,Co-Cu-O,Co,Cu,O,Co25Cu11O48_758061_POSCAR,-0.23926249576746345,13.2512038405,-0.61189449687309,-0.3726320011056266,12.2696331856,24.0484810438,35,local_max_drop
d-block,Co-Cu-O,Co,Cu,O,Co21Cu3O32_757299_POSCAR,-0.20861324550869148,7.489533181,-0.45296526040898,-0.24435201490028852,6.6253562755,14.1148894565,35,local_max_drop
d-block,Co-Cu-O,Co,Cu,O,Co11CuO16_757448_POSCAR,-0.10046537875953834,7.6900005,-0.2273507097893,-0.12688533102976166,7.098462,14.49269325,35,local_max_drop
d-block,Co-Cu-O,Co,Cu,O,Co5CuO8_761404_POSCAR,-0.09496045716303025,6.6682192854,-0.21738886531597,-0.12242840815293973,5.6803349468,12.1015831476,35,local_max_drop
d-block,Co-Cu-O,Co,Cu,O,Co5CuO8_1275601_POSCAR,-0.0921139414819169,6.6250269214,-0.22095930734849,-0.1288453658665731,6.1154094659,12.4856276595,35,local_max_drop
d-block,Co-Cu-O,Co,Cu,O,Co9Cu3O16_753563_POSCAR,-0.08704565519008906,7.294441844,-0.21323164192589,-0.12618598673580095,6.7333309329,13.7472173214,35,local_max_drop
d-block,Co-Cu-O,Co,Cu,O,Co9Cu3O16_767737_POSCAR,-0.08685922996401557,7.552942072,-0.21481256245657,-0.12795333249255442,6.971946528,14.234390828,35,local_max_drop
d-block,Co-Cu-O,Co,Cu,O,Co9Cu3O16_2767725_POSCAR,-0.08489972890913797,7.6070175726,-0.21381171652605,-0.12891198761691203,7.0435347894,13.8053281873,35,local_max_drop
d-block,Co-Hf-O,Co,Hf,O,HfCoO3_753534_POSCAR,-0.03827504769054599,7.0250959999,-0.14756013378528,-0.109285086094734,6.2145079999,7.5654879999,35,local_max_drop
d-block,Co-Mo-O,Co,Mo,O,Co4_MoO4_3_1213876_POSCAR,-0.08752806029373905,6.1985256,-0.53978064409054,-0.452252583796801,5.9402537,12.6553231,35,local_max_drop
d-block,Co-Nb-O,Co,Nb,O,Nb2Co4O9_1275198_POSCAR,-0.07026225917250864,6.2583474903,-0.26406723669588,-0.19380497752337136,5.9975830115,12.7774594593,35,local_max_drop
d-block,Co-Nb-O,Co,Nb,O,Nb2Co4O9_1232651_POSCAR,-0.06919358903355277,6.2497702933,-0.26275463386423,-0.1935610448306772,5.9893631978,12.7599476822,35,local_max_drop
d-block,Co-Nb-O,Co,Nb,O,Nb2Co4O9_1276507_POSCAR,-0.06853444691033111,6.2576610932,-0.26275235969882,-0.19421791278848888,5.9969252144,12.7760580654,35,local_max_drop
d-block,Co-Nb-O,Co,Nb,O,Nb2Co4O9_31513_POSCAR,-0.0677766569918474,6.428809844,-0.26018580939143,-0.1924091523995826,5.9145050565,12.6004672942,35,local_max_drop
d-block,Co-Nb-O,Co,Nb,O,Nb2Co4O9_1291928_POSCAR,-0.06776819587109159,6.2560212072,-0.26199066124156,-0.19422246537046842,5.9953536569,12.7727099646,35,local_max_drop
d-block,Co-Nb-O,Co,Nb,O,Nb2Co4O9_2767524_POSCAR,-0.06657584399494562,6.4042538926,-0.25829525284638,-0.19171940885143438,5.8919135812,12.5523376295,35,local_max_drop
d-block,Co-Nb-S,Co,Nb,S,Nb2CoS4_1210385_POSCAR,-0.12716990413784868,4.83013705,-0.30691201665837,-0.1797421125205213,4.16391125,8.16126605,35,local_max_drop
d-block,Co-Nb-S,Co,Nb,S,Nb2CoS4_1193022_POSCAR,-0.11835805243960867,4.85874845,-0.26435773847254,-0.14599968603293134,4.18857625,8.20960945,35,local_max_drop
d-block,Co-Nb-S,Co,Nb,S,Nb4CoS8_1094100_POSCAR,-0.10253772502960717,9.737567481,-0.2379823752428,-0.13544465021319282,8.394454725,16.453131261,35,local_max_drop
d-block,Co-Nb-S,Co,Nb,S,Nb3CoS6_7116_POSCAR,-0.08160720528089332,8.4532816155,-0.18954458855755,-0.10793738327665667,7.2873117375,14.2831310055,35,local_max_drop
d-block,Co-Ni-O,Co,Ni,O,Co_NiO2_2_863417_POSCAR,-0.13121336133117506,7.6388741,-0.25527866857715,-0.12406530724597492,6.75746555,14.39633965,35,local_max_drop
d-block,Co-Ni-O,Co,Ni,O,Co_NiO2_2_754168_POSCAR,-0.06935838225291129,6.4668875078,-0.13684533747057,-0.06748695521765873,5.9694346226,12.1875956877,35,local_max_drop
d-block,Co-Ni-O,Co,Ni,O,Co2NiO4_38683_POSCAR,-0.0648479358255631,6.5436637936,-0.12994979225175,-0.06510185642618689,5.7886256636,12.3322894572,35,local_max_drop
d-block,Co-Ni-O,Co,Ni,O,Co2NiO4_1153924_POSCAR,-0.06183105118174013,5.2908489545,-0.12406898027469,-0.062237929092949874,4.6803663829,9.9712153374,35,local_max_drop
d-block,Co-Ni-O,Co,Ni,O,Co2NiO4_1096547_POSCAR,-0.061101280612783096,6.4702239891,-0.12319460322923,-0.0620933226164469,5.7236596826,12.1938836717,35,local_max_drop
d-block,Co-Ni-O,Co,Ni,O,Co2NiO4_1304693_POSCAR,-0.06072098985171678,6.8568347633,-0.12198700461566,-0.06126601476394322,5.8019371074,12.9224962846,35,local_max_drop
d-block,Co-Ni-O,Co,Ni,O,Co3NiO8_753483_POSCAR,-0.058654246879489225,7.5661837119,-0.12196895635673,-0.06331470947724077,7.0057256592,13.7312222919,35,local_max_drop
d-block,Co-Ni-O,Co,Ni,O,Co3NiO8_773140_POSCAR,-0.058078551176390866,7.5526276254,-0.13087579475016,-0.07279724357376914,6.9931737272,13.7066205053,35,local_max_drop
d-block,Co-Ni-O,Co,Ni,O,Co3NiO8_752738_POSCAR,-0.057115228937546676,7.3365245255,-0.11679732528229,-0.05968209634474333,6.7930782644,13.3144333982,35,local_max_drop
d-block,Co-Ni-S,Co,Ni,S,Co3_Ni3S4_2_1226487_POSCAR,-0.07076145142305706,8.5044415872,-0.16293955887036,-0.09217810744730293,7.8969814738,14.8827727775,35,local_max_drop
d-block,Co-Rh-S,Co,Rh,S,Co8RhS8_1188878_POSCAR,-0.05788363420600698,8.4890131391,-0.14576792136149,-0.08788428715548302,7.8826550577,14.8557729934,35,local_max_drop
d-block,Co-Ru-O,Co,Ru,O,Co5RuO8_530751_POSCAR,-0.2879931942107602,6.5830054145,-0.67643697791417,-0.3884437837034098,5.5297245482,12.9026906124,35,local_max_drop
d-block,Co-Ru-O,Co,Ru,O,Co9Ru3O16_531333_POSCAR,-0.20481538293361368,7.2233244597,-0.53711175904535,-0.33229637611173635,6.0675925462,14.1577159411,35,local_max_drop
d-block,Co-Ru-O,Co,Ru,O,Co5RuO8_1329603_POSCAR,-0.1997341340607247,7.4663917122,-0.61523680307866,-0.4155026690179353,7.1677360437,14.634127756,35,local_max_drop
d-block,Co-Ru-O,Co,Ru,O,Co7_RuO6_2_675115_POSCAR,-0.13535566127562398,6.1671981749,-0.3989646069097,-0.263608945634076,5.6927983153,11.6227965604,35,local_max_drop
d-block,Co-Ru-O,Co,Ru,O,Co7_RuO6_2_690550_POSCAR,-0.12558652280007931,7.5930474598,-0.37054039058002,-0.24495386777994066,6.4248863122,14.3099740589,35,local_max_drop
d-block,Co-Ru-O,Co,Ru,O,Co2RuO4_754049_POSCAR,-0.09280251955070473,7.6305397759,-0.26961734804316,-0.17681482849245528,6.4096534117,14.9558579607,35,local_max_drop
d-block,Co-Ta-O,Co,Ta,O,Ta2Co4O9_773173_POSCAR,-0.1198146512849112,6.2380187105,-0.40923149015643,-0.2894168388715188,5.9781012642,12.7359548673,35,local_max_drop
d-block,Co-Ta-O,Co,Ta,O,Ta2Co4O9_885579_POSCAR,-0.11512716820822638,6.2215644,-0.40520063964297,-0.2900734714347436,5.96233255,12.70236065,35,local_max_drop
d-block,Co-Ta-O,Co,Ta,O,Ta2Co4O9_863438_POSCAR,-0.06174035858783525,6.249516336,-0.20985425737504,-0.14811389878720474,5.989119822,12.759429186,35,local_max_drop
d-block,Co-Ta-S,Co,Ta,S,Ta9_CoS3_2_29580_POSCAR,-0.22959019376601997,14.9557302005,-0.42180701773642,-0.19221682397040002,12.8928708625,25.2700268905,35,local_max_drop
d-block,Co-Ta-S,Co,Ta,S,Ta9_CoS3_2_1189705_POSCAR,-0.11313530796199216,4.8311029675,-0.21034912005602,-0.09721381209402784,4.1647439375,8.1628981175,35,local_max_drop
d-block,Co-Tc-O,Co,Tc,O,Co2TcO4_36069_POSCAR,-0.06786633339075239,6.6165373009,-0.15685437293073,-0.08898803953997762,5.5578913328,12.9684131098,35,local_max_drop
d-block,Co-Y-O,Co,Y,O,Y_CoO2_3_1045123_POSCAR,-0.15143079249638855,8.0245770098,-0.28301120268084,-0.13158041018445146,6.5916168295,14.0430097672,35,local_max_drop
