block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,metal
d-block,Co-O,O,CoO_19275_POSCAR,-0.0541295013170569,4.6241660534,-0.10077043686479,-0.046640935547733,4.4314924678,9.4410056923,35,local_max_drop,mp-19275,CoO,Tetragonal,I4/mmm,139,0.131636747499999,-1.140194398750001,False,0.0,True,6.244491165818308,8,79.70449336651158,9.963061670813948,38.33366329362019,0.4809473302508482,48.09473302508482,Co
d-block,Co-S,S,Co3S_1183733_POSCAR,-0.0743776709351193,6.958500048,-0.1416250117928,-0.0672473408576806,6.4430556,12.628388976,35,local_max_drop,mp-1183733,Co3S,Hexagonal,P6_3/mmc,194,0.489732716718748,0.256451934765625,False,0.0,True,7.684714069798743,8,90.26433513589336,11.28304189198667,59.97302888977039,0.6644155612455431,66.44155612455431,Co
d-block,Cr-O,O,CrO2_1044871_POSCAR,-0.0548594220890123,7.31283,-0.12291050044974,-0.0680510783607277,6.790485,12.7974525,35,local_max_drop,mp-1044871,CrO2,Orthorhombic,Pmmn,59,0.176237902499966,-1.8714629591666672,False,0.0,True,3.39877099671416,24,328.2994070033026,13.67914195847094,109.26412334735014,0.3328185218021151,33.28185218021152,Cr
d-block,Cr-S,S,Cr5S8_849084_POSCAR,-0.0570335511759461,7.9354642408,-0.19504820661818,-0.1380146554422339,7.6415581578,14.4013980666,35,local_max_drop,mp-849084,Cr5S8,Monoclinic,Cm,8,0.018103083076923,-0.9606169561538452,False,0.0,True,3.834891982991866,26,447.2977395724548,17.20375921432518,190.07971778293563,0.4249512147426041,42.49512147426041,Cr
d-block,Cu-O,O,Cu64O_1213626_POSCAR,-0.4481761697967984,12.461483594,-0.98919511355384,-0.5410189437570416,11.1263246375,21.8075962895,35,local_max_drop,mp-1213626,Cu64O,Orthorhombic,Amm2,38,0.032106777692306,0.002360372846153,False,0.0,True,8.839841692134591,65,766.9692800985052,11.79952738613085,617.7855999309326,0.8054893669947089,80.54893669947089,Cu
d-block,Cu-S,S,Cu9S5_684710_POSCAR,-0.0798072845307308,9.0955301419,-0.25064813549698,-0.1708408509662491,8.1210090552,15.9171777483,35,local_max_drop,mp-684710,Cu9S5,Triclinic,P-1,2,0.049669751116072,-0.177552687165178,False,0.0,True,5.855300080088663,28,415.3199489294472,14.832855318908829,221.90398434315705,0.5342964741162799,53.42964741162799,Cu
d-block,Fe-O,O,Fe2O3_510080_POSCAR,-0.0559842649640556,6.46588875,-0.148669939843,-0.0926856748789443,6.2072532,12.67314195,35,local_max_drop,mp-510080,Fe2O3,Orthorhombic,Pbcn,60,0.130721205499998,-1.5763701475,False,1.309499999999999,False,5.117896034929836,20,207.24805096879572,10.362402548439787,91.52379258236044,0.4416147324644355,44.16147324644356,Fe
d-block,Fe-S,S,FeS_2779_POSCAR,-0.0637735698654788,6.8954145735,-0.19005346235382,-0.1262798924883411,6.3846431236,12.5139005222,35,local_max_drop,mp-2779,FeS,Hexagonal,P-62c,190,0.299531570416666,-0.457909460833332,False,0.0,True,5.094471969029963,24,343.850331201194,14.327097133383084,173.79758028645583,0.5054454351674398,50.54454351674398,Fe
d-block,Hf-O,O,HfO2_775757_POSCAR,-0.0425218887428238,14.6359104575,-0.14417780614424,-0.1016559174014161,14.13122389,24.7296418075,35,local_max_drop,mp-775757,HfO2,Orthorhombic,Pbca,61,0.00992863875,-4.00988240208333,False,4.1083,False,10.2455682122362,24,272.9179042031612,11.37157934179838,198.86254688966065,0.7286533562914458,72.86533562914458,Hf
d-block,Mn-O,O,Mn3O4_1193728_POSCAR,-0.0295446086034763,4.28301,-0.19498506081442,-0.1654404522109436,4.12438,7.77287,35,local_max_drop,mp-1193728,Mn3O4,Orthorhombic,Pbcm,57,0.218974626785714,-1.831434613756158,False,0.0,True,3.762579513540525,28,403.9258955157591,14.42592483984854,154.2621015913028,0.3819069371482876,38.19069371482876,Mn
