block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,pair
d-block,Cr-Ag-S,Cr,Ag,S,Cr5AgS8_676751_POSCAR,-0.060173778380712,9.3766869,-0.21835633229079,-0.1581825539100779,9.0294022,17.0169503,35,local_max_drop,mp-676751,Cr5AgS8,,,,,,,,,,28,524.8160869839636,18.7434316779987,215.6198188590694,0.4108483413650731,41.08483413650731,Ag-Cr
d-block,Mn-Ag-O,Mn,Ag,O,Mn3_AgO2_4_31239_POSCAR,-0.1062325079755933,12.2509779699,-0.49843407224685,-0.3922015642712566,11.797238045,22.2332563157,35,local_max_drop,mp-31239,Mn3(AgO2)4,,,,,,,,,,60,747.3269130663098,12.455448551105162,377.8510770598175,0.5056034654358702,50.56034654358702,Ag-Mn
d-block,Nb-Ag-O,Nb,Ag,O,Nb13AgO33_1210284_POSCAR,-0.0600014036844241,5.7712823999,-0.16521497294258,-0.1052135692581558,5.5789063199,9.4264279199,35,local_max_drop,mp-1210284,Nb13AgO33,,,,,,,,,,47,680.2630371101633,14.473681640641772,292.70539195946736,0.4302826641925364,43.02826641925365,Ag-Nb
d-block,Rh-Ag-S,Rh,Ag,S,Ag2_RhS_15_1201221_POSCAR,-0.2131169344460084,13.7230983,-0.68998770888141,-0.4768707744354016,13.2148354,24.9048821,35,local_max_drop,mp-1201221,Ag2(RhS)15,,,,,,,,,,64,1050.4012194270365,16.41251905354744,556.3630318132153,0.5296671610079579,52.966716100795786,Ag-Rh
d-block,V-Ag-O,V,Ag,O,V6AgO15_757033_POSCAR,-0.0635192948890931,11.3430177994,-0.14274081141953,-0.0792215165304368,10.6112101995,17.9292861991,35,local_max_drop,mp-757033,V6AgO15,,,,,,,,,,44,548.306463124887,12.461510525565616,241.6976098010503,0.4408075156064668,44.08075156064669,Ag-V
d-block,Ta-Au-S,Ta,Au,S,Ta5AuS_669370_POSCAR,-0.2339202903548504,11.1503494889,-0.50347340206696,-0.2695531117121096,9.612370249,18.8402456881,35,local_max_drop,mp-669370,Ta5AuS,,,,,,,,,,28,495.0528311480107,17.680458255286094,473.1335883790587,0.9557234270974232,95.57234270974232,Au-Ta
d-block,Co-Cd-O,Co,Cd,O,Cd_CoO2_2_754042_POSCAR,-0.0941303284724344,6.5799237532,-0.20589098842621,-0.1117606599537755,5.6051202342,11.9413431077,35,local_max_drop,mp-754042,Cd(CoO2)2,,,,,,,,,,28,297.11152870553354,10.611126025197626,136.33205214035803,0.4588581693020615,45.88581693020616,Cd-Co
d-block,Fe-Cd-O,Fe,Cd,O,Cd_FeO2_2_756539_POSCAR,-0.074775744094754,3.8846158,-0.2178259003051,-0.1430501562103459,3.5857992,7.3210067,35,local_max_drop,mp-756539,Cd(FeO2)2,,,,,,,,,,28,298.1480220118558,10.648143643280564,146.3714764206169,0.490935594450452,49.0935594450452,Cd-Fe
d-block,Mn-Cd-O,Mn,Cd,O,Mn7CdO12_1105241_POSCAR,-0.0728132613197234,7.9683545806,-0.17549348188069,-0.1026802205609665,7.6618794044,15.0172836326,35,local_max_drop,mp-1105241,Mn7CdO12,,,,,,,,,,20,211.5352704376892,10.57676352188446,105.7052476023497,0.4997050722729793,49.97050722729793,Cd-Mn
d-block,Nb-Cd-O,Nb,Cd,O,Nb6CdO16_773090_POSCAR,-0.1274741536498837,11.8650195,-0.384451979196,-0.2569778255461162,11.0740182,19.37953185,35,local_max_drop,mp-773090,Nb6CdO16,,,,,,,,,,92,1245.3255142364194,13.536146893874124,570.5397660666459,0.4581450870027959,45.8145087002796,Cd-Nb
