block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,pair
s-block,Ca-Ba-O,Ca,Ba,O,BaCa3O4_1019541_POSCAR,-0.0636623686656744,7.662369,-0.086099592256505,-0.0224372235908305,6.6407198,12.5152027,35,local_max_drop,mp-1019541,BaCa3O4,Cubic,Pm-3m,221,0.18143897125,-3.003986249999999,False,2.335099999999999,False,4.005842001344047,8,133.2954762873941,16.661934535924264,114.95584728882362,0.8624137179342155,86.24137179342155,Ba-Ca
s-block,Cs-Ba-O,Cs,Ba,O,Cs2Ba2O3_752539_POSCAR,-0.0757761346335604,12.11396025,-0.10804187658479,-0.0322657419512295,9.34505505,16.95954435,35,local_max_drop,mp-752539,Cs2Ba2O3,Monoclinic,P2_1/c,14,0.081643138571426,-2.037686927758621,False,1.451099999999999,False,4.7790896102979215,14,408.9339405726099,29.20956718375785,417.143236083258,1.0200748695477635,102.00748695477635,Ba-Cs
s-block,Li-Ba-O,Li,Ba,O,BaLi4O3_1178558_POSCAR,-0.2843296271860232,9.268275237,-0.37955364050238,-0.0952240133163567,7.9052935845,13.3572201945,35,local_max_drop,mp-1178558,BaLi4O3,Orthorhombic,Cmce,64,0.08772889375,-2.164380218541667,False,3.4693,False,3.848050029283198,32,367.8153237745356,11.494228867954238,321.5226726393299,0.8741415918723868,87.41415918723868,Ba-Li
s-block,Mg-Ba-O,Mg,Ba,O,BaMgO2_756018_POSCAR,-0.0726752665787847,8.963161515,-0.10274986078431,-0.0300745942055252,7.768073313,14.6398304745,35,local_max_drop,mp-756018,BaMgO2,Trigonal,P3_121,152,0.037724884166666,-2.893251054583333,False,3.1602,False,4.561553749238541,12,211.461834753652,17.62181956280433,167.34118012672786,0.7913540536602095,79.13540536602095,Ba-Mg
s-block,Na-Ba-O,Na,Ba,O,Ba2NaO_1019519_POSCAR,-0.0636297924539813,11.406530241,-0.088528244170813,-0.0248984517168316,9.716673909,20.700740067,35,local_max_drop,mp-1019519,Ba2NaO,Orthorhombic,Cmme,67,0.0,-1.448841951594827,True,0.0,True,2.855418573709402,8,364.7918664448433,45.598983305605415,207.2491248205934,0.5681297854592642,56.81297854592642,Ba-Na
s-block,Sr-Ba-O,Sr,Ba,O,BaSr3O4_984729_POSCAR,-0.0705232647300662,7.9915425,-0.093185634254558,-0.0226623695244917,6.65961875,13.05285275,35,local_max_drop,mp-984729,BaSr3O4,Cubic,Pm-3m,221,0.044253557499999,-2.968374765,False,2.5199,False,5.097083665801495,8,151.22307439952326,18.902884299940407,139.62487687550143,0.9233040488690236,92.33040488690236,Ba-Sr
s-block,Be-Ca-O,Be,Ca,O,Ca12Be17O29_27407_POSCAR,-0.2312645271420709,13.3716051109,-0.34891655068416,-0.117652023542089,11.2148946091,21.1357629172,35,local_max_drop,mp-27407,Ca12Be17O29,Cubic,F-43m,216,0.006200534051721,-3.180722960862069,False,3.7478,False,2.608870434415032,58,698.9540734331754,12.05093230057199,371.9612526631888,0.53216837386205,53.21683738620499,Be-Ca
s-block,Cs-Be-O,Cs,Be,O,Cs2BeO2_755292_POSCAR,-0.0867891696344367,15.0559578415,-0.12652565616017,-0.0397364865257332,13.4282867235,19.9389711955,35,local_max_drop,mp-755292,Cs2BeO2,Monoclinic,P2_1/c,14,0.0,-2.017852933362068,True,3.1264,False,4.623904553882648,20,440.7441564738446,22.03720782369223,511.2551816021909,1.159981758334511,115.99817583345109,Be-Cs
s-block,K-Be-O,K,Be,O,K2Be2O3_754587_POSCAR,-0.0602922974007852,13.1004768,-0.090892939859918,-0.0306006424591327,11.4629172,20.0601051,35,local_max_drop,mp-754587,K2Be2O3,Monoclinic,P2_1/c,14,0.036247833928569,-2.3798153499285712,False,3.2855,False,2.023637446228528,14,236.6842504142422,16.906017886731586,162.21353124060144,0.6853583665017722,68.53583665017722,Be-K
s-block,Na-Be-O,Na,Be,O,Na2Be2O3_755789_POSCAR,-0.057107620045655,10.903197,-0.093349126037952,-0.0362415059922969,9.8128773,17.8085551,35,local_max_drop,mp-755789,Na2Be2O3,Monoclinic,P2_1/c,14,0.095560400499996,-2.34413358682266,False,3.0523,False,1.891965247181159,14,196.60389337301544,14.043135240929674,98.69252164915343,0.5019866084844244,50.19866084844245,Be-Na
