chemsys,n_configurations,ligand_examples,packing_fraction_min,packing_fraction_median,packing_fraction_max,packing_fraction_range,volume_per_atom_median,delta_E_min,delta_E_mean,delta_E_max,packing_vs_delta_corr,packing_vs_delta_slope
Ti-O,92,O,0.3303068408019373,0.6971401056666293,0.9759995868596357,0.6456927460576984,11.500962971444048,-1.6057661461466,-0.32469470067210926,-0.0514449279103111,-0.37853445945885894,-1.0235903338995316
Nb-S,10,S,0.4639577101688776,0.5407455368826046,1.151599384526695,0.6876416743578173,18.608067445989633,-1.0842023921852435,-0.28378910528042456,-0.0649555658660609,-0.551040720545848,-0.7430818733947555
Zr-S,11,S,0.40484938087620975,0.6254353969259435,0.9262765229135735,0.5214271420373637,20.002417249584628,-0.7231444753281236,-0.3429570790727738,-0.0533113712157117,-0.14482475323632102,-0.14657266007265476
Ti-S,8,S,0.47681573157699747,0.6186578089297344,0.9030632003294947,0.42624746875249725,16.977206069969032,-0.7069226199479104,-0.26130465743202774,-0.0528628078659885,-0.8080616364630745,-1.1263700648018014
V-O,123,O,0.2004298732395079,0.4589794306784547,1.0150833022787646,0.8146534290392567,12.843050380928872,-0.6891613514457486,-0.10317506189143343,-0.0156082497563143,-0.4281872942599203,-0.19957033118523898
Y-O,12,O,0.7572202452393855,0.8317800622607359,0.9296399705978505,0.17241972535846506,14.68660800149145,-0.6326966991093348,-0.3218470340464282,-0.0677406436488581,0.8139371359992952,3.407905030989569
Mn-O,34,O,0.31108641730469355,0.4378104857102199,0.579880870347735,0.2687944530430414,11.688446073866228,-0.5650836296435212,-0.15228678368544932,-0.0295446086034763,-0.2788141477495118,-0.577020031340718
Cu-O,1,O,0.8054893669947089,0.8054893669947089,0.8054893669947089,0.0,11.79952738613085,-0.4481761697967984,-0.4481761697967984,-0.4481761697967984,,
V-S,8,S,0.44433014932362547,0.6762059576331694,0.9983569461419449,0.5540267968183195,14.178145429585676,-0.4423245653306554,-0.16449024186941347,-0.0568080103591953,-0.7827130692987666,-0.5322242909404639
Sc-O,7,O,0.7072070206271783,0.7608419438769111,0.9660962427450721,0.2588892221178938,11.769023566245467,-0.4387089915759971,-0.20544994888123366,-0.0558396062275589,-0.7953244461446498,-1.074700649422677
Fe-O,77,O,0.31347287873809926,0.4308536150153318,0.5066466453835837,0.19317376664548447,11.096806112084225,-0.4179007291083483,-0.1366414010901948,-0.0559842649640556,-0.07089450217950351,-0.12271853614531536
Pd-O,2,O,0.4634162233312659,0.4635924585704436,0.46376869380962127,0.00035247047835534895,12.70951910383909,-0.3659186590475132,-0.21154126697394748,-0.0571638749003818,-1.0,-875.9734590756282
Co-O,22,O,0.2660483923428316,0.3636756472725551,0.48094733025084824,0.21489893790801662,11.270277462954644,-0.3565828424330174,-0.15378505273669626,-0.0541295013170569,-0.22617543004566698,-0.3900632962465599
Zr-O,18,O,0.5967365659099573,0.7284136841085381,0.9589848579241657,0.3622482920142084,12.869311586475234,-0.3419377176395782,-0.16189297373180397,-0.0592407180916191,-0.2925241652287826,-0.20836679250947182
Ni-S,6,S,0.43852182107141463,0.4683524669839634,0.6404619357554076,0.20194011468399292,13.617347843843213,-0.3366414857509834,-0.16103556420876902,-0.0833111801199243,0.596069173789191,0.7427230538176773
Cu-S,4,S,0.5219355327716112,0.5350433754979325,0.5518329724704173,0.029897439698806094,14.918497082562016,-0.3308447819725019,-0.1570156314574137,-0.0798072845307308,-0.18034133575403258,-1.7435909125609326
Tc-O,1,O,0.25405904140458874,0.25405904140458874,0.25405904140458874,0.0,15.325134076724245,-0.3130755057089796,-0.3130755057089796,-0.3130755057089796,,
Ta-S,5,S,0.5312200342329224,0.8704438285753475,1.0470219823801907,0.5158019481472683,17.618636724036982,-0.2798808034141286,-0.18343747124543994,-0.112687211608369,-0.4728284865175675,-0.16052123263422105
Sc-S,3,S,0.5198562293783728,0.5337360397664728,0.5574374357278772,0.03758120634950435,21.123124998078154,-0.277944709160809,-0.13684470199516094,-0.0646852634887339,0.16220706802788054,1.043124370564696
Ni-O,19,O,0.3144850635634327,0.44953617583071553,0.5752229934004355,0.2607379298370028,10.111318338195938,-0.2641469386601428,-0.12113617943006938,-0.0548140802716701,-0.18527452429497565,-0.183080664506484
Ta-O,6,O,0.5017163698664747,0.8337300386907502,1.0758245618238254,0.5741081919573506,15.248120618796587,-0.2558979205585986,-0.1217265671302374,-0.0552771738854162,-0.7643912779916049,-0.2482901977013183
Rh-S,1,S,0.5623411990266954,0.5623411990266954,0.5623411990266954,0.0,15.372608789658644,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,,
Cr-O,24,O,0.33281852180211513,0.4552838368603956,0.5696163167479722,0.23679779494585707,11.859651000289869,-0.2536050290405825,-0.12954260290272315,-0.0548594220890123,0.18061204806882802,0.23499587513956066
Nb-O,16,O,0.3995841668254207,0.4311365356814931,0.7320568443123115,0.33247267748689086,14.557557987348204,-0.2345078647211213,-0.1146027537326274,-0.0593780019443679,-0.13772410259971776,-0.08315568961468367
Y-S,3,S,0.602197083875392,0.6615326965075259,0.6664145193274218,0.06421743545202985,21.770343081111182,-0.2155435175171478,-0.14590877084780177,-0.0994782563188775,-0.26193385122291957,-0.4499639550026311
Zn-S,98,S,0.24644027939122243,0.30561498550130106,0.3192719909102479,0.07283171151902545,20.3774214479643,-0.2049524028841517,-0.1026351910974433,-0.0591086933613166,0.7103396734652796,0.7698539896416328
Zn-O,5,O,0.3151271329388492,0.32480601598173664,0.43000759212087775,0.11488045918202855,13.562659419755969,-0.2045787050979867,-0.1839888116514946,-0.1136383585203062,0.9709293209642629,0.8069029492498001
Pd-S,3,S,0.5884124037658828,0.6103060864399292,0.6666692068108286,0.07825680304494587,15.807845966560112,-0.1654040371581073,-0.11659404733553601,-0.0703960055736158,0.316612117991991,0.3729495131069266
Mo-S,4,S,0.2512812372661167,0.4931085623410679,0.835399961043297,0.5841187237771803,19.594370268114346,-0.1586130006063377,-0.11255755664120419,-0.065983674271478,-0.5290392632407196,-0.10905188371536946
Hf-O,8,O,0.6253663370914793,0.6364236402945933,0.7608947779001255,0.13552844080864623,13.01954783776034,-0.1581966049088147,-0.11666438877992927,-0.0425218887428238,0.9013137216564623,0.9807499280055763
Rh-O,4,O,0.47049753576229825,0.5185185012026837,0.5426903782099376,0.07219284244763935,10.652406578460187,-0.1432233008240765,-0.09036413217519963,-0.0685411233742755,-0.4355606512895632,-0.48108812516919996
Fe-S,8,S,0.4558133455923366,0.5485823897187292,0.7260292081039541,0.2702158625116175,12.960420806474342,-0.1163896643480806,-0.09198631431932096,-0.0637735698654788,-0.7835383483251463,-0.16895301173079985
Cr-S,6,S,0.4129191015843281,0.41518645509753094,0.4865928469245451,0.07367374534021698,17.63260169190336,-0.1130756385898952,-0.08459123227564636,-0.0570335511759461,0.2312793179272162,0.19950202588373117
Mo-O,1,O,0.553106976809013,0.553106976809013,0.553106976809013,0.0,13.502626603654004,-0.095623290981335,-0.095623290981335,-0.095623290981335,,
Co-S,2,S,0.41543693115130836,0.5399262461984258,0.6644155612455431,0.24897863009423477,13.177070442055143,-0.0882133689004489,-0.0812955199177841,-0.0743776709351193,1.0,0.055569821233625555
