chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Co-O,Co15O28_766681_POSCAR,mp-766681,Co15O28,Triclinic,P-1,2,0.023970381727576,-1.08509475116279,False,0.4962,False,4.695986603605816,43,470.99936198971426,10.953473534644518,159.40662292437395,0.3384433945960527,33.84433945960527
Co-O,Co21O40_850026_POSCAR,mp-850026,Co21O40,Tetragonal,I-4,82,0.048658195807965,-1.049597354918032,False,0.0,True,4.834274586470409,61,644.9330543088015,10.572673021455762,224.13268043709567,0.3475285984175628,34.752859841756276
Co-O,Co23O32_2740066_POSCAR,mp-2740066,Co23O32,Tetragonal,I-42m,121,0.004434659181818,-1.332651985636364,False,0.0,True,6.004672964463483,55,516.4251589850538,9.389548345182797,231.25690779675315,0.4478033336935974,44.780333369359745
Co-O,Co23O32_705564_POSCAR,mp-705564,Co23O32,Triclinic,P1,1,0.0,-1.272912193454546,True,0.0,True,5.523838474278383,55,561.3785057702239,10.206881923094981,231.25690779675315,0.41194471362857665,41.19447136285766
Co-O,Co29O40_705563_POSCAR,mp-705563,Co29O40,Triclinic,P1,1,0.095079775942028,-1.181368133913043,False,0.0,True,5.358234126387961,69,727.9768600684695,10.55038927635463,291.1659235946139,0.39996590491520356,39.99659049152036
Co-O,Co2O3_1043418_POSCAR,mp-1043418,Co2O3,Orthorhombic,Cmcm,63,0.300602043428572,-0.929350249999999,False,0.151899999999999,False,4.870760585879938,20,226.18613791865013,11.309306895932506,81.48436830210153,0.3602535904804569,36.025359048045694
Co-O,Co3O4_1271793_POSCAR,mp-1271793,Co3O4,Trigonal,R-3m,166,0.0,-1.290338224285714,True,0.0,True,5.524739582189392,14,144.750038065255,10.3392884332325,59.90901579786082,0.413879102199981,41.3879102199981
Co-O,Co5O7_1046082_POSCAR,mp-1046082,Co5O7,Orthorhombic,Cmcm,63,0.407637924285714,-0.861694277499999,False,0.0,True,4.936604523060536,24,273.57985034954805,11.399160431231168,100.65119994891162,0.3679042876158876,36.790428761588764
Co-O,Co9O13_1343966_POSCAR,mp-1343966,Co9O13,Monoclinic,C2/m,12,0.247499506396104,-1.003932737045455,False,0.0,True,4.962319998199503,22,247.08745665948916,11.231248029976781,91.06778412550658,0.3685649824426618,36.85649824426618
Co-O,CoO_1244882_POSCAR,mp-1244882,CoO,Triclinic,P1,1,0.401737901749999,-0.8700932445,False,0.2197,False,4.766298154811251,80,1044.2359859289354,13.052949824111693,383.3366329362017,0.3670977040646532,36.70977040646532
Co-O,CoO_1244939_POSCAR,mp-1244939,CoO,Triclinic,P1,1,0.409406951625,-0.8624241946250011,False,0.258099999999999,False,4.987670439084296,80,997.8887166000145,12.473608957500181,383.3366329362017,0.384147677550958,38.4147677550958
