chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Co-Cd-O,Cd_CoO2_2_1178482_POSCAR,mp-1178482,Cd(CoO2)2,,,,,,,,,,28,334.98116229522617,11.96361293911522,136.33205214035803,0.4069842351917259,40.698423519172586
Co-Cd-O,Cd_CoO2_2_754042_POSCAR,mp-754042,Cd(CoO2)2,,,,,,,,,,28,297.11152870553354,10.611126025197626,136.33205214035803,0.4588581693020615,45.885816930206154
Co-Cd-O,Cd_CoO2_2_769705_POSCAR,mp-769705,Cd(CoO2)2,,,,,,,,,,28,329.6121859305176,11.771863783232773,136.33205214035803,0.4136135069020078,41.36135069020078
Co-Cu-O,Co11CuO16_757448_POSCAR,mp-757448,Co11CuO16,,,,,,,,,,28,289.4791813038753,10.338542189424118,121.0729596307541,0.41824409992254347,41.824409992254346
Co-Cu-O,Co21Cu3O32_757299_POSCAR,mp-757299,Co21Cu3O32,,,,,,,,,,56,540.2485316230677,9.64729520755478,243.40084729654006,0.45053495391332454,45.053495391332454
Co-Cu-O,Co25Cu11O48_758061_POSCAR,mp-758061,Co25Cu11O48,,,,,,,,,,84,802.1966211999647,9.549959776190056,373.25830317252036,0.4652952821144801,46.52952821144801
Co-Cu-O,Co5CuO8_1275601_POSCAR,mp-1275601,Co5CuO8,,,,,,,,,,28,288.4023893107314,10.300085332526121,122.32788766578648,0.4241569841295163,42.41569841295163
Co-Cu-O,Co5CuO8_761404_POSCAR,mp-761404,Co5CuO8,,,,,,,,,,28,265.13006716146737,9.468930970052407,122.32788766578648,0.46138821211585684,46.138821211585686
Co-Cu-O,Co9Cu3O16_2767725_POSCAR,mp-2767725,Co9Cu3O16,,,,,,,,,,28,258.71429114229846,9.239796112224946,123.58281570081886,0.47768066910863316,47.76806691086332
Co-Cu-O,Co9Cu3O16_753563_POSCAR,mp-753563,Co9Cu3O16,,,,,,,,,,28,285.59136153766576,10.199691483488063,123.58281570081886,0.43272602867058324,43.272602867058325
