block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
d-block,Co-Cd-O,Co,Cd,O,Cd_CoO2_2_1178482_POSCAR,-0.0963921453643815,13.74564,-0.21288487442807,-0.1164927290636884,12.0961632,26.9414544,35,local_max_drop,mp-1178482,Cd(CoO2)2,,,,,,,,,,28,334.98116229522617,11.96361293911522,136.33205214035803,0.4069842351917259,40.698423519172586
d-block,Co-Cd-O,Co,Cd,O,Cd_CoO2_2_769705_POSCAR,-0.0956106134841418,6.586824466,-0.20863903217394,-0.1130284186897982,5.5734668558,12.4136307244,35,local_max_drop,mp-769705,Cd(CoO2)2,,,,,,,,,,28,329.6121859305176,11.771863783232773,136.33205214035803,0.4136135069020078,41.36135069020078
d-block,Co-Cd-O,Co,Cd,O,Cd_CoO2_2_754042_POSCAR,-0.0941303284724344,6.5799237532,-0.20589098842621,-0.1117606599537755,5.6051202342,11.9413431077,35,local_max_drop,mp-754042,Cd(CoO2)2,,,,,,,,,,28,297.11152870553354,10.611126025197626,136.33205214035803,0.4588581693020615,45.885816930206154
d-block,Co-Cu-O,Co,Cu,O,Co25Cu11O48_758061_POSCAR,-0.2392624957674634,13.2512038405,-0.61189449687309,-0.3726320011056266,12.2696331856,24.0484810438,35,local_max_drop,mp-758061,Co25Cu11O48,,,,,,,,,,84,802.1966211999647,9.549959776190056,373.25830317252036,0.4652952821144801,46.52952821144801
d-block,Co-Cu-O,Co,Cu,O,Co21Cu3O32_757299_POSCAR,-0.2086132455086914,7.489533181,-0.45296526040898,-0.2443520149002885,6.6253562755,14.1148894565,35,local_max_drop,mp-757299,Co21Cu3O32,,,,,,,,,,56,540.2485316230677,9.64729520755478,243.40084729654006,0.45053495391332454,45.053495391332454
d-block,Co-Cu-O,Co,Cu,O,Co11CuO16_757448_POSCAR,-0.1004653787595383,7.6900005,-0.2273507097893,-0.1268853310297616,7.098462,14.49269325,35,local_max_drop,mp-757448,Co11CuO16,,,,,,,,,,28,289.4791813038753,10.338542189424118,121.0729596307541,0.41824409992254347,41.824409992254346
d-block,Co-Cu-O,Co,Cu,O,Co5CuO8_761404_POSCAR,-0.0949604571630302,6.6682192854,-0.21738886531597,-0.1224284081529397,5.6803349468,12.1015831476,35,local_max_drop,mp-761404,Co5CuO8,,,,,,,,,,28,265.13006716146737,9.468930970052407,122.32788766578648,0.46138821211585684,46.138821211585686
d-block,Co-Cu-O,Co,Cu,O,Co5CuO8_1275601_POSCAR,-0.0921139414819169,6.6250269214,-0.22095930734849,-0.1288453658665731,6.1154094659,12.4856276595,35,local_max_drop,mp-1275601,Co5CuO8,,,,,,,,,,28,288.4023893107314,10.300085332526121,122.32788766578648,0.4241569841295163,42.41569841295163
d-block,Co-Cu-O,Co,Cu,O,Co9Cu3O16_753563_POSCAR,-0.087045655190089,7.294441844,-0.21323164192589,-0.1261859867358009,6.7333309329,13.7472173214,35,local_max_drop,mp-753563,Co9Cu3O16,,,,,,,,,,28,285.59136153766576,10.199691483488063,123.58281570081886,0.43272602867058324,43.272602867058325
d-block,Co-Cu-O,Co,Cu,O,Co9Cu3O16_767737_POSCAR,-0.0868592299640155,7.552942072,-0.21481256245657,-0.1279533324925544,6.971946528,14.234390828,35,local_max_drop,mp-767737,Co9Cu3O16,,,,,,,,,,28,276.92044640559885,9.890015943057103,123.58281570081886,0.4462755181313337,44.62755181313337
