chemsys,n_configurations,ligand_examples,packing_fraction_min,packing_fraction_median,packing_fraction_max,packing_fraction_range,volume_per_atom_median,delta_E_min,delta_E_mean,delta_E_max,packing_vs_delta_corr,packing_vs_delta_slope
Mg-S,1,S,0.522865870955755,0.522865870955755,0.522865870955755,0.0,22.36931421035324,-1.617398561098014,-1.617398561098014,-1.617398561098014,,
Li-O,7,O,0.5246704026877519,0.6369712212256504,0.8306891019460035,0.30601869925825165,9.599152195511484,-1.0107886950057,-0.5924150392338622,-0.0549232533226787,0.0902108076218892,0.465373244109902
Ba-O,12,O,0.40975973659006604,0.8209913719869226,0.9972700199830317,0.5875102833929656,21.77680581390092,-0.7225909634722566,-0.4259278150400958,-0.0722170747478375,-0.3722180511032438,-0.7546083076041231
Na-O,10,O,0.4681951870992876,0.7916597428448606,1.0468496405474175,0.5786544534481299,13.376075191012596,-0.7187373384955631,-0.2153472896747734,-0.0539333665176588,0.15908646717498098,0.20728989139087675
Ca-O,4,O,0.6079971561544653,0.722445017912131,0.7269108574135598,0.1189137012590945,16.55199921713474,-0.5807133744221771,-0.4723928660911909,-0.1641206222546675,-0.999574865431953,-3.5394795810454345
Rb-O,10,O,0.5390601810436148,0.8777283866617647,1.2607149169746776,0.7216547359310629,32.705929440559686,-0.3113070302590912,-0.13613791397713243,-0.0622402467213465,0.5350792099111283,0.16873998278322427
Li-S,3,S,0.4851597984883483,0.48515989912959595,0.5247305727844193,0.039570774296070976,15.402556155287881,-0.2949795639141629,-0.2392586813302162,-0.1329885722114362,0.9996055784688905,4.028361311792257
Cs-O,5,O,0.5702807945793551,1.0376922215217688,1.3293935974281956,0.7591128028488405,30.816948348724832,-0.2715798527919763,-0.11363064851405524,-0.0428886752085408,0.32180275079034737,0.08704768847438989
Mg-O,14,O,0.4143072677736887,0.5346801695556007,0.6957907569584837,0.281483489184795,12.107269552189365,-0.2688980788391594,-0.1598929324645816,-0.010811664488489,0.1315465865349484,0.17871522324446765
Be-O,5,O,0.26993624989221265,0.2957692232869017,0.3057161726950834,0.035779922802870734,8.300785769339713,-0.1989833517916587,-0.18634507552569066,-0.1682507219686706,-0.958251760698124,-0.796226020391384
K-O,6,O,0.93111997873304,1.0216182638320346,1.2176715601539092,0.28655158142086923,22.61791106817089,-0.1965213530310383,-0.13069390158239033,-0.0522556268875159,0.08554502463050567,0.059157830071586766
Na-S,3,S,0.4313545577607327,0.5431805163177039,0.6851901526160141,0.2538355948552814,22.10113748388406,-0.1030999303781098,-0.07840052397258017,-0.0649552554510592,-0.8745804164930706,-0.14724555712535087
Rb-S,3,S,0.5406418135150098,0.7085687576359239,0.8869034707263778,0.3462616572113679,34.89519247671257,-0.0908395282624128,-0.07436860596569274,-0.0651364789364117,-0.8386452815416773,-0.06925395970064244
Cs-S,2,S,0.6282558973859352,0.829187049990932,1.0301182025959286,0.40186230520999333,37.06766593296699,-0.0822822675601371,-0.0709425661719991,-0.0596028647838611,-1.0,-0.056435755437238284
K-S,4,S,0.43624135388160273,0.47097616583645907,0.6523751758433405,0.21613382196173775,29.396976273910774,-0.0745338624712088,-0.07116433702786577,-0.0662771560226026,-0.739068210480963,-0.025489433564942942
Ba-S,1,S,0.6521340663799918,0.6521340663799918,0.6521340663799918,0.0,29.995881377080043,-0.0584917790466334,-0.0584917790466334,-0.0584917790466334,,
Sr-O,2,O,0.7344111190472523,0.7347266747325093,0.7350422304177663,0.0006311113705139704,15.183824566593952,-0.0529707102085289,-0.052958737858706695,-0.0529467655088845,-1.0,-0.03794052961666358
