chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Ba-O,BaO_1178531_POSCAR,mp-1178531,BaO,Orthorhombic,Pbcm,57,0.01994168078125,-2.80370102671875,False,2.2831,False,5.766030208020219,64,1412.990042470456,22.077969413600876,1370.6889049666959,0.970062678269267,97.00626782692669
Ba-O,BaO_1244871_POSCAR,mp-1244871,BaO,Triclinic,P1,1,0.204366994599999,-2.6192757129,False,1.704899999999999,False,4.955755089495295,100,2568.775822799566,25.68775822799566,2141.701414010461,0.8337439939295053,83.37439939295052
Ba-O,BaO_1245192_POSCAR,mp-1245192,BaO,Triclinic,P1,1,0.2059768572,-2.6176658503,False,1.3032,False,4.867820766142586,100,2615.1792487363687,26.151792487363686,2141.701414010461,0.8189501408155148,81.89501408155148
Ba-O,BaO_1245276_POSCAR,mp-1245276,BaO,Triclinic,P1,1,0.2293675159,-2.594275191599999,False,1.749499999999999,False,4.884183199503542,100,2606.4181764091322,26.064181764091323,2141.701414010461,0.8217029152862522,82.17029152862521
Ba-O,BaO_1245298_POSCAR,mp-1245298,BaO,Triclinic,P1,1,0.198866548999999,-2.6247761585,False,1.7653999999999992,False,4.8757244000206565,100,2610.93999767991,26.1093999767991,2141.701414010461,0.8202798286875931,82.02798286875931
Ba-O,BaO_1245311_POSCAR,mp-1245311,BaO,Triclinic,P1,1,0.1714524052,-2.6521903023,False,1.480999999999999,False,4.812621533262382,100,2645.174522548694,26.45174522548694,2141.701414010461,0.8096635574528658,80.96635574528658
Ba-O,BaO_776658_POSCAR,mp-776658,BaO,Orthorhombic,Cmcm,63,0.010911619375001,-2.812731088124999,False,2.3834,False,5.927750027025872,32,687.2205508544308,21.475642214200963,685.3444524833483,0.9972700199830317,99.72700199830317
Ba-O,BaO2_1182141_POSCAR,mp-1182141,BaO2,Monoclinic,P2_1/c,14,0.418740532083334,-1.751452131249999,False,0.0,True,5.3379277452172005,24,421.3951471773517,17.558131132389654,352.30630967139564,0.8360473822047153,83.60473822047153
Ba-O,BaO2_1182238_POSCAR,mp-1182238,BaO2,Orthorhombic,Pnma,62,0.418397264166667,-1.751795399166666,False,0.2728,False,5.277957231273876,24,426.18322758515643,17.757634482714852,352.30630967139564,0.8266545627983464,82.66545627983464
Ba-O,BaO2_1182259_POSCAR,mp-1182259,BaO2,Monoclinic,P2_1/c,14,0.433399485416668,-1.736793177916666,False,0.0,True,4.853481284200349,24,463.4563760848889,19.31068233687037,352.30630967139564,0.7601714591728165,76.01714591728165
Ba-O,BaO2_726415_POSCAR,mp-726415,BaO2,Monoclinic,P2_1/c,14,0.069902947916664,-2.10028971541667,False,2.687599999999999,False,5.206439760809411,24,432.0374290473533,18.001559543639722,352.30630967139564,0.8154532130427552,81.54532130427552
Ba-O,BaO6_1198787_POSCAR,mp-1198787,BaO6,Orthorhombic,Pbca,61,0.043514910357141,-0.894188341785715,False,0.0,True,3.249561202164395,56,953.8336944542034,17.03274454382506,390.8426433902839,0.40975973659006604,40.975973659006605
Ba-S,Ba2S3_28978_POSCAR,mp-28978,Ba2S3,Tetragonal,I4_1md,109,0.063863152999999,-1.9196869674999992,False,1.2985,False,4.10595871636164,10,299.9588137708004,29.995881377080043,195.61336097087076,0.6521340663799918,65.21340663799919
Be-O,BeO_1244907_POSCAR,mp-1244907,BeO,Triclinic,P1,1,0.257439136499999,-2.845416666000001,False,4.4843,False,2.585868833140669,100,803.0706841660187,8.030706841660187,245.51169596685736,0.3057161726950834,30.571617269508337
Be-O,BeO_1244919_POSCAR,mp-1244919,BeO,Triclinic,P1,1,0.264251738299998,-2.838604064200001,False,4.4524,False,2.51218061629517,100,826.6266519986392,8.266266519986392,245.51169596685736,0.29700433124585673,29.700433124585672
Be-O,BeO_1244963_POSCAR,mp-1244963,BeO,Triclinic,P1,1,0.289117839399999,-2.813737963100001,False,4.7618,False,2.501733582891131,100,830.0785769339714,8.300785769339713,245.51169596685736,0.2957692232869017,29.57692232869017
Be-O,BeO_1245060_POSCAR,mp-1245060,BeO,Triclinic,P1,1,0.3269340063,-2.7759217962,False,4.2425,False,2.283228028698272,100,909.5173251643372,9.095173251643372,245.51169596685736,0.26993624989221265,26.993624989221267
Be-O,BeO_1245079_POSCAR,mp-1245079,BeO,Triclinic,P1,1,0.310552852699999,-2.7923029498,False,4.321099999999999,False,2.415146135974719,100,859.8384252203692,8.598384252203692,245.51169596685736,0.2855323613897981,28.55323613897981
Ca-O,Ca2O3_1120811_POSCAR,mp-1120811,Ca2O3,Triclinic,P1,1,0.2142064745,-2.4321373745,False,0.196899999999999,False,2.62521308091353,40,648.496100381148,16.2124025095287,394.28378480899863,0.6079971561544653,60.79971561544652
Ca-O,CaO_1244902_POSCAR,mp-1244902,CaO,Triclinic,P1,1,0.311101841399999,-2.9949175511,False,2.1384,False,2.810222594042136,100,1656.78536711108,16.5678536711108,1202.030316810242,0.725519636201405,72.5519636201405
Ca-O,CaO_1245200_POSCAR,mp-1245200,CaO,Triclinic,P1,1,0.341503199599999,-2.9645161929,False,1.997399999999999,False,2.786404185829366,100,1670.9477029363848,16.709477029363846,1202.030316810242,0.719370399622857,71.9370399622857
Ca-O,CaO_1245305_POSCAR,mp-1245305,CaO,Triclinic,P1,1,0.295378315899998,-3.0106410766,False,2.4659,False,2.815611340595657,100,1653.6144763158677,16.536144763158678,1202.030316810242,0.7269108574135598,72.69108574135598
Cs-O,Cs11O3_562001_POSCAR,mp-562001,Cs11O3,Monoclinic,P2_1/c,14,0.005618911656402,-0.7818787620504931,False,0.0,True,2.512526068644122,56,3991.750872676983,71.28126558351755,2691.8357482994816,0.6743496360769275,67.43496360769275
Cs-O,Cs2O_755573_POSCAR,mp-755573,Cs2O,Orthorhombic,Pnma,62,0.056972324166667,-1.123274220603449,False,1.9227,False,5.061684602196915,12,369.80338018469797,30.816948348724832,491.61424592484235,1.3293935974281956,132.93935974281956
Cs-O,Cs2O3_1213719_POSCAR,mp-1213719,Cs2O3,Cubic,I-43d,220,0.072772280499998,-1.023226469362069,False,0.0,True,4.315093894537169,20,483.04142496075286,24.152071248037643,501.2483293545644,1.0376922215217688,103.76922215217688
Cs-O,Cs4O3_1105918_POSCAR,mp-1105918,Cs4O3,Cubic,I-43d,220,0.135815927142856,-1.069560221945813,False,0.0,True,4.760627108002041,14,404.350789662651,28.882199261617927,494.02276678227287,1.2217677803830556,122.17677803830556
