block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
s-block,Ba-O,O,BaO_1245311_POSCAR,-0.7225909634722566,21.6303142432,-0.91849227577425,-0.1959013123019933,18.1415538814,34.1898515458,35,local_max_drop,mp-1245311,BaO,Triclinic,P1,1,0.1714524052,-2.6521903023,False,1.480999999999999,False,4.812621533262382,100,2645.174522548694,26.45174522548694,2141.701414010461,0.8096635574528658,80.96635574528658
s-block,Ba-O,O,BaO_1245192_POSCAR,-0.713742264272903,20.4829142608,-0.91468667799083,-0.200944413717927,17.1792184123,32.3762193155,35,local_max_drop,mp-1245192,BaO,Triclinic,P1,1,0.2059768572,-2.6176658503,False,1.3032,False,4.867820766142586,100,2615.1792487363687,26.151792487363686,2141.701414010461,0.8189501408155148,81.89501408155148
s-block,Ba-O,O,BaO_1244871_POSCAR,-0.7112515062333151,21.1194325484,-0.91413956286653,-0.2028880566332149,17.7130724599,33.3823288668,35,local_max_drop,mp-1244871,BaO,Triclinic,P1,1,0.204366994599999,-2.6192757129,False,1.704899999999999,False,4.955755089495295,100,2568.775822799566,25.68775822799566,2141.701414010461,0.8337439939295053,83.37439939295052
s-block,Ba-O,O,BaO_1245298_POSCAR,-0.7108686082438302,22.2487828536,-0.91060995003442,-0.1997413417905897,18.6602694901,35.1674309622,35,local_max_drop,mp-1245298,BaO,Triclinic,P1,1,0.198866548999999,-2.6247761585,False,1.7653999999999992,False,4.8757244000206565,100,2610.93999767991,26.1093999767991,2141.701414010461,0.8202798286875931,82.02798286875931
s-block,Ba-O,O,BaO_1245276_POSCAR,-0.6976933070077083,20.3620814425,-0.89888459261397,-0.2011912856062617,17.0778747582,32.1852255058,35,local_max_drop,mp-1245276,BaO,Triclinic,P1,1,0.2293675159,-2.594275191599999,False,1.749499999999999,False,4.884183199503542,100,2606.4181764091322,26.064181764091323,2141.701414010461,0.8217029152862522,82.17029152862521
s-block,Ba-O,O,BaO_1178531_POSCAR,-0.6282740279891615,6.08423825,-0.77514348042748,-0.1468694524383184,4.90664375,9.61702175,35,local_max_drop,mp-1178531,BaO,Orthorhombic,Pbcm,57,0.01994168078125,-2.80370102671875,False,2.2831,False,5.766030208020219,64,1412.990042470456,22.077969413600876,1370.6889049666959,0.970062678269267,97.00626782692669
s-block,Ba-O,O,BaO_776658_POSCAR,-0.3182519775856239,5.226319393,-0.39383364069546,-0.075581663109836,4.3833646522,8.2609564599,35,local_max_drop,mp-776658,BaO,Orthorhombic,Cmcm,63,0.010911619375001,-2.812731088124999,False,2.3834,False,5.927750027025872,32,687.2205508544308,21.475642214200963,685.3444524833483,0.9972700199830317,99.72700199830317
s-block,Ba-O,O,BaO2_726415_POSCAR,-0.1375083392860999,11.61822402,-0.18591434227322,-0.04840600298712,10.069127484,18.976432566,35,local_max_drop,mp-726415,BaO2,Monoclinic,P2_1/c,14,0.069902947916664,-2.10028971541667,False,2.687599999999999,False,5.206439760809411,24,432.0374290473533,18.001559543639722,352.30630967139564,0.8154532130427552,81.54532130427552
s-block,Ba-O,O,BaO2_1182238_POSCAR,-0.135008005564288,7.4764219532,-0.18932480280434,-0.054316797240052,6.4795656928,12.2114891903,35,local_max_drop,mp-1182238,BaO2,Orthorhombic,Pnma,62,0.418397264166667,-1.751795399166666,False,0.2728,False,5.277957231273876,24,426.18322758515643,17.757634482714852,352.30630967139564,0.8266545627983464,82.66545627983464
s-block,Ba-O,O,BaO2_1182141_POSCAR,-0.1349934106276576,11.447886,-0.18950094898588,-0.0545075383582223,9.9215012,18.6982138,35,local_max_drop,mp-1182141,BaO2,Monoclinic,P2_1/c,14,0.418740532083334,-1.751452131249999,False,0.0,True,5.3379277452172005,24,421.3951471773517,17.558131132389654,352.30630967139564,0.8360473822047153,83.60473822047153
