chemsys,n_configurations,ligand_examples,packing_fraction_min,packing_fraction_median,packing_fraction_max,packing_fraction_range,volume_per_atom_median,delta_E_min,delta_E_mean,delta_E_max,packing_vs_delta_corr,packing_vs_delta_slope
Na-Ba-O,9,O,0.5681297854592642,0.844488451839441,0.9022347333928759,0.3341049479336117,19.401684095908177,-0.3781585590386352,-0.17199127371771014,-0.0636297924539813,-0.4381292014569101,-0.42146361240890917
Rb-Cs-O,2,O,0.5985806086951233,0.8936836485159143,1.1887866883367053,0.590206079641582,54.14001497144198,-0.2947398697226531,-0.18804203103571845,-0.0813441923487838,1.0,0.3615612999165637
Li-Ba-O,2,O,0.8741415918723868,0.8775160527781605,0.8808905136839342,0.006748921811547404,11.450197486807086,-0.294433136649283,-0.2893813819176531,-0.2843296271860232,-1.0,-1.4970553438584677
Na-Be-O,6,O,0.5019866084844244,0.7032370651564223,0.924064237078683,0.42207762859425857,10.911604761670336,-0.2672822139103636,-0.12512393441793807,-0.057107620045655,-0.5320090837613056,-0.2891588216078518
Be-Ca-O,1,O,0.53216837386205,0.53216837386205,0.53216837386205,0.0,12.05093230057199,-0.2312645271420709,-0.2312645271420709,-0.2312645271420709,,
Rb-Mg-O,3,O,0.9129622439064192,1.0277620263812581,1.088761540316156,0.17579929640973668,20.112652359637284,-0.196385547747716,-0.1239148065218152,-0.0863639753520125,0.9467660573072821,0.6658384691532093
Na-Mg-O,3,O,0.7384044428194093,0.8974365901798667,0.9214012204327399,0.18299677761333055,13.323174178165067,-0.1737583390490534,-0.1433950856426013,-0.115570912953621,-0.88779335647242,-0.26043596080845066
Mg-Ba-O,2,O,0.7913540536602095,0.841899088780838,0.8924441239014663,0.10109007024125682,18.019182043187776,-0.1725373180014359,-0.1226062922901103,-0.0726752665787847,-1.0,-0.9878522310284786
Cs-Mg-O,1,O,1.0674595533851403,1.0674595533851403,1.0674595533851403,0.0,25.45294126522519,-0.1677527347899395,-0.1677527347899395,-0.1677527347899395,,
K-Mg-O,3,O,0.9226047588118338,0.9979120461238427,1.1143220652247448,0.19171730641291096,16.88178095538087,-0.1466220743174632,-0.12887629335424647,-0.1014048476586742,-0.2860838171658148,-0.07145877691586756
