chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Be-Ca-O,Ca12Be17O29_27407_POSCAR,mp-27407,Ca12Be17O29,Cubic,F-43m,216,0.006200534051721,-3.180722960862069,False,3.7478,False,2.608870434415032,58,698.9540734331754,12.05093230057199,371.9612526631888,0.53216837386205,53.21683738620499
Be-Sr-O,SrBe3O4_27791_POSCAR,mp-27791,SrBe3O4,Hexagonal,P-62c,190,0.0,-3.112535916875,True,4.1295,False,3.641867279149913,16,162.9176276603905,10.182351728774407,93.98863591288448,0.5769089401965036,57.690894019650365
Ca-Ba-O,Ba3CaO4_1078915_POSCAR,mp-1078915,Ba3CaO4,Cubic,Pm-3m,221,0.12788131,-2.816355568749999,False,2.11,False,5.210708177879748,8,164.45598479580516,20.556998099475646,152.54269117683236,0.9275593792845861,92.75593792845861
Ca-Ba-O,BaCa3O4_1019541_POSCAR,mp-1019541,BaCa3O4,Cubic,Pm-3m,221,0.18143897125,-3.003986249999999,False,2.335099999999999,False,4.005842001344047,8,133.2954762873941,16.661934535924264,114.95584728882362,0.8624137179342155,86.24137179342155
Ca-Ba-O,BaCaO2_756930_POSCAR,mp-756930,BaCaO2,Orthorhombic,Pnma,62,0.0541217925,-3.010709257499999,False,2.8163,False,4.764929121330527,16,291.9020885644545,18.243880535278407,267.4985384656559,0.9163981654985311,91.63981654985311
Ca-Sr-O,Sr3CaO4_1079940_POSCAR,mp-1079940,Sr3CaO4,Cubic,Pm-3m,221,0.033803752499999,-3.099418741249999,False,3.294499999999999,False,4.516801764481276,8,134.89874705543693,16.862343381929616,120.83145493149708,0.8957196235621161,89.57196235621161
Ca-Sr-O,SrCa3O4_978844_POSCAR,mp-978844,SrCa3O4,Cubic,Pm-3m,221,0.040153662499999,-3.208266763749999,False,3.3723,False,3.731162869927697,8,120.98646396705387,15.123307995881733,104.38543520704516,0.8627860653524896,86.27860653524895
Cs-Ba-O,Cs2Ba2O3_752539_POSCAR,mp-752539,Cs2Ba2O3,Monoclinic,P2_1/c,14,0.081643138571426,-2.037686927758621,False,1.451099999999999,False,4.7790896102979215,14,408.9339405726099,29.20956718375785,417.143236083258,1.0200748695477637,102.00748695477637
Cs-Ba-O,Cs2Ba2O3_754272_POSCAR,mp-754272,Cs2Ba2O3,Monoclinic,P2_1/c,14,0.02439436285714,-2.094935703472907,False,1.9378,False,4.729249476637108,14,413.2435719661709,29.517397997583636,417.143236083258,1.0094367205726464,100.94367205726465
Cs-Ba-O,Cs2BaO2_755217_POSCAR,mp-755217,Cs2BaO2,Orthorhombic,Pbcn,60,0.052646121000003,-1.784958888862069,False,1.454699999999999,False,4.842835581641891,20,596.8086124670613,29.840430623353065,662.9503590456796,1.1108257240209798,111.08257240209798
Cs-Be-O,Cs2BeO2_755292_POSCAR,mp-755292,Cs2BeO2,Monoclinic,P2_1/c,14,0.0,-2.017852933362068,True,3.1264,False,4.623904553882648,20,440.7441564738446,22.03720782369223,511.25518160219093,1.1599817583345107,115.99817583345107
Cs-Ca-O,Cs2CaO2_753803_POSCAR,mp-753803,Cs2CaO2,Orthorhombic,Pbcn,60,0.093233114999999,-1.937322568862069,False,2.3181,False,4.366103274126179,20,514.0288234670413,25.701441173352066,587.776671269662,1.1434702577672655,114.34702577672655
Cs-Mg-O,Cs2MgO2_1178409_POSCAR,mp-1178409,Cs2MgO2,Monoclinic,P2_1/c,14,0.0636705475,-1.859801047362069,False,2.0341,False,4.202925265140574,40,1018.1176506090076,25.45294126522519,1086.7994126126196,1.0674595533851403,106.74595533851404
Cs-Sr-O,Cs2Sr2O3_753801_POSCAR,mp-753801,Cs2Sr2O3,Monoclinic,P2_1/c,14,0.067239008571429,-2.196080097758621,False,2.394599999999999,False,4.471665701297922,14,363.21370911772055,25.94383636555147,374.86158775614405,1.0320689399822414,103.20689399822413
K-Be-O,K2Be2O3_754587_POSCAR,mp-754587,K2Be2O3,Monoclinic,P2_1/c,14,0.036247833928569,-2.3798153499285712,False,3.2855,False,2.023637446228528,14,236.6842504142422,16.906017886731586,162.21353124060144,0.6853583665017722,68.53583665017722
K-Be-O,K2BeO2_27915_POSCAR,mp-27915,K2BeO2,Monoclinic,P2_1/c,14,0.0,-2.1003341254,True,2.9234,False,2.48597272935165,20,318.50525911949944,15.925262955974972,304.7861268038543,0.956926512442616,95.6926512442616
K-Be-O,K4Be3O5_28158_POSCAR,mp-28158,K4Be3O5,Monoclinic,C2/c,15,0.0,-2.301597747416666,True,3.2088,False,2.486656674499181,24,351.8221128984704,14.659254704102933,314.6065946425286,0.8942206390913197,89.42206390913196
K-Mg-O,K2Mg2O3_769025_POSCAR,mp-769025,K2Mg2O3,Tetragonal,P4_32_12,96,0.0277894425,-2.244047649928572,False,3.2516,False,2.755786651076017,28,421.3246335191721,15.047308339970431,388.71611188944,0.9226047588118338,92.26047588118338
K-Mg-O,K2MgO2_755802_POSCAR,mp-755802,K2MgO2,Orthorhombic,Pbcn,60,0.0,-1.965248261399999,True,2.7608,False,2.645966906733719,20,337.6356191076174,16.88178095538087,336.93065150797287,0.9979120461238427,99.79120461238426
K-Mg-O,K6MgO4_12171_POSCAR,mp-12171,K6MgO4,Hexagonal,P6_3mc,186,0.0,-1.5719714466818182,True,1.6783,False,2.634295751358229,22,407.0730815053945,18.50332188660884,453.61051688049207,1.1143220652247448,111.43220652247447
K-Rb-O,KRbO_756889_POSCAR,mp-756889,KRbO,Tetragonal,I4/mmm,139,0.091884004166666,-1.091639200749999,False,0.0146,False,2.268898705538341,12,411.50273304316687,34.29189442026391,323.3900688229454,0.7858758711792605,78.58758711792605
K-Rb-S,KRbS_28760_POSCAR,mp-28760,KRbS,Orthorhombic,Pnma,62,0.0080872775,-1.176483886583332,False,2.2214,False,2.657694592867013,12,391.45515258614347,32.62126271551195,337.9692201513477,0.8633663854430281,86.33663854430282
K-Sr-O,K2Sr2O3_756334_POSCAR,mp-756334,K2Sr2O3,Monoclinic,P2_1/c,14,0.05533240642857,-2.230971624928571,False,2.1927,False,3.121879415192686,14,320.6685426536332,22.904895903830944,271.62706035697585,0.8470648792337918,84.70648792337919
Li-Ba-O,BaLi4O3_1178558_POSCAR,mp-1178558,BaLi4O3,Orthorhombic,Cmce,64,0.08772889375,-2.164380218541667,False,3.4693,False,3.848050029283198,32,367.8153237745356,11.494228867954238,321.5226726393299,0.8741415918723868,87.41415918723868
Li-Ba-O,BaLi4O3_778878_POSCAR,mp-778878,BaLi4O3,Orthorhombic,Cmc2_1,36,0.086320239375,-2.165788872916667,False,3.5741,False,3.877759380429559,32,364.9973153811179,11.406166105659935,321.5226726393299,0.8808905136839342,88.08905136839343
Li-Cs-O,CsLiO_1178393_POSCAR,mp-1178393,CsLiO,Orthorhombic,Pnma,62,0.058514978333334,-1.562407250996169,False,0.0,True,4.221117612319065,12,245.23185489288528,20.43598790774044,283.35376284204443,1.1554525123410677,115.54525123410677
Li-Cs-O,CsLiO_1178395_POSCAR,mp-1178395,CsLiO,Tetragonal,I4/mmm,139,0.089964015,-1.5309582143295022,False,1.6344,False,3.408937069555163,12,303.6584370899942,25.304869757499517,283.35376284204443,0.9331331793625344,93.31331793625344
Li-K-O,KLi2O3_1103121_POSCAR,mp-1103121,KLi2O3,Monoclinic,P2_1/m,11,0.217223602916667,-1.312295557319444,False,0.000799999999999,False,2.078504618672116,12,161.34555846656843,13.44546320554737,112.44571894739558,0.6969247868740983,69.69247868740983
Li-K-O,KLiO_559612_POSCAR,mp-559612,KLiO,Orthorhombic,Cmce,64,0.012296178333333,-1.63544179686111,False,2.3803,False,2.360282102014887,12,174.58537647259826,14.54878137271652,180.11923544287615,1.0316971505980999,103.16971505980999
Li-K-S,KLiS_722181_POSCAR,mp-722181,KLiS,Hexagonal,P6_3/mmc,194,0.048966201666666,-1.33288870436111,False,2.7753,False,1.924524366187,6,134.78160526308005,22.46360087718001,97.34919338563925,0.7222735861887346,72.22735861887347
Li-K-S,KLiS_8430_POSCAR,mp-8430,KLiS,Tetragonal,P4/nmm,129,0.0,-1.381854906027777,True,3.0571,False,2.009905336028247,6,129.05606955174886,21.509344925291476,97.34919338563925,0.7543170478053666,75.43170478053666
Li-Na-O,NaLiO_755144_POSCAR,mp-755144,NaLiO,Hexagonal,P6_3/mmc,194,0.069303446666666,-1.674364853237547,False,2.8819,False,2.326659196666336,6,65.5608182808961,10.926803046816017,58.29911292571404,0.8892371153137657,88.92371153137657
