block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
s-block,Be-Ca-O,Be,Ca,O,Ca12Be17O29_27407_POSCAR,-0.2312645271420709,13.3716051109,-0.34891655068416,-0.117652023542089,11.2148946091,21.1357629172,35,local_max_drop,mp-27407,Ca12Be17O29,Cubic,F-43m,216,0.006200534051721,-3.180722960862069,False,3.7478,False,2.608870434415032,58,698.9540734331754,12.05093230057199,371.9612526631888,0.53216837386205,53.21683738620499
s-block,Be-Sr-O,Be,Sr,O,SrBe3O4_27791_POSCAR,-0.0564663187782247,7.117133543,-0.092905335755273,-0.0364390169770482,5.969208778,11.249662697,35,local_max_drop,mp-27791,SrBe3O4,Hexagonal,P-62c,190,0.0,-3.112535916875,True,4.1295,False,3.641867279149913,16,162.9176276603905,10.182351728774407,93.98863591288448,0.5769089401965036,57.690894019650365
s-block,Ca-Ba-O,Ca,Ba,O,BaCaO2_756930_POSCAR,-0.1360000797166174,5.8343922,-0.17585796638856,-0.0398578866719425,4.705155,9.2221038,35,local_max_drop,mp-756930,BaCaO2,Orthorhombic,Pnma,62,0.0541217925,-3.010709257499999,False,2.8163,False,4.764929121330527,16,291.9020885644545,18.243880535278407,267.4985384656559,0.9163981654985311,91.63981654985311
s-block,Ca-Ba-O,Ca,Ba,O,Ba3CaO4_1078915_POSCAR,-0.0711327080737588,8.218158,-0.090960156721948,-0.0198274486481892,6.848465,13.4229914,35,local_max_drop,mp-1078915,Ba3CaO4,Cubic,Pm-3m,221,0.12788131,-2.816355568749999,False,2.11,False,5.210708177879748,8,164.45598479580516,20.556998099475646,152.54269117683236,0.9275593792845861,92.75593792845861
s-block,Ca-Ba-O,Ca,Ba,O,BaCa3O4_1019541_POSCAR,-0.0636623686656744,7.662369,-0.086099592256505,-0.0224372235908305,6.6407198,12.5152027,35,local_max_drop,mp-1019541,BaCa3O4,Cubic,Pm-3m,221,0.18143897125,-3.003986249999999,False,2.335099999999999,False,4.005842001344047,8,133.2954762873941,16.661934535924264,114.95584728882362,0.8624137179342155,86.24137179342155
s-block,Ca-Sr-O,Ca,Sr,O,Sr3CaO4_1079940_POSCAR,-0.0656318803641605,7.6929675,-0.089780562297972,-0.0241486819338114,6.41080625,12.56518025,35,local_max_drop,mp-1079940,Sr3CaO4,Cubic,Pm-3m,221,0.033803752499999,-3.099418741249999,False,3.294499999999999,False,4.516801764481276,8,134.89874705543693,16.862343381929616,120.83145493149708,0.8957196235621161,89.57196235621161
s-block,Ca-Sr-O,Ca,Sr,O,SrCa3O4_978844_POSCAR,-0.0612419592001643,7.66614965,-0.085439090955807,-0.0241971317556426,6.67696905,12.11746235,35,local_max_drop,mp-978844,SrCa3O4,Cubic,Pm-3m,221,0.040153662499999,-3.208266763749999,False,3.3723,False,3.731162869927697,8,120.98646396705387,15.123307995881733,104.38543520704516,0.8627860653524896,86.27860653524895
s-block,Cs-Ba-O,Cs,Ba,O,Cs2BaO2_755217_POSCAR,-0.1280173843596677,12.33950025,-0.17745581031019,-0.0494384259505223,9.8716002,17.27530035,35,local_max_drop,mp-755217,Cs2BaO2,Orthorhombic,Pbcn,60,0.052646121000003,-1.784958888862069,False,1.454699999999999,False,4.842835581641891,20,596.8086124670613,29.840430623353065,662.9503590456796,1.1108257240209798,111.08257240209798
s-block,Cs-Ba-O,Cs,Ba,O,Cs2Ba2O3_754272_POSCAR,-0.0975641310137163,12.9861996,-0.13240360744688,-0.0348394764331636,11.0185936,19.2825388,35,local_max_drop,mp-754272,Cs2Ba2O3,Monoclinic,P2_1/c,14,0.02439436285714,-2.094935703472907,False,1.9378,False,4.729249476637108,14,413.2435719661709,29.517397997583636,417.143236083258,1.0094367205726464,100.94367205726465
s-block,Cs-Ba-O,Cs,Ba,O,Cs2Ba2O3_752539_POSCAR,-0.0757761346335604,12.11396025,-0.10804187658479,-0.0322657419512295,9.34505505,16.95954435,35,local_max_drop,mp-752539,Cs2Ba2O3,Monoclinic,P2_1/c,14,0.081643138571426,-2.037686927758621,False,1.451099999999999,False,4.7790896102979215,14,408.9339405726099,29.20956718375785,417.143236083258,1.0200748695477637,102.00748695477637
s-block,Cs-Be-O,Cs,Be,O,Cs2BeO2_755292_POSCAR,-0.0867891696344367,15.0559578415,-0.12652565616017,-0.0397364865257332,13.4282867235,19.9389711955,35,local_max_drop,mp-755292,Cs2BeO2,Monoclinic,P2_1/c,14,0.0,-2.017852933362068,True,3.1264,False,4.623904553882648,20,440.7441564738446,22.03720782369223,511.25518160219093,1.1599817583345107,115.99817583345107
s-block,Cs-Ca-O,Cs,Ca,O,Cs2CaO2_753803_POSCAR,-0.0916648706838207,11.7715248,-0.14361021289939,-0.0519453422155692,9.4826172,16.0223532,35,local_max_drop,mp-753803,Cs2CaO2,Orthorhombic,Pbcn,60,0.093233114999999,-1.937322568862069,False,2.3181,False,4.366103274126179,20,514.0288234670413,25.701441173352066,587.776671269662,1.1434702577672655,114.34702577672655
s-block,Cs-Mg-O,Cs,Mg,O,Cs2MgO2_1178409_POSCAR,-0.1677527347899395,12.2111766,-0.26056654100507,-0.0928138062151304,10.8543792,16.62076815,35,local_max_drop,mp-1178409,Cs2MgO2,Monoclinic,P2_1/c,14,0.0636705475,-1.859801047362069,False,2.0341,False,4.202925265140574,40,1018.1176506090076,25.45294126522519,1086.7994126126196,1.0674595533851403,106.74595533851404
s-block,Cs-Sr-O,Cs,Sr,O,Cs2Sr2O3_753801_POSCAR,-0.0808442073719472,12.7763262,-0.11935916914139,-0.0385149617694427,10.5216804,18.4129407,35,local_max_drop,mp-753801,Cs2Sr2O3,Monoclinic,P2_1/c,14,0.067239008571429,-2.196080097758621,False,2.394599999999999,False,4.471665701297922,14,363.21370911772055,25.94383636555147,374.86158775614405,1.0320689399822414,103.20689399822413
s-block,K-Be-O,K,Be,O,K4Be3O5_28158_POSCAR,-0.1066606578102634,10.1532093031,-0.16856466768244,-0.0619040098721765,8.9928425256,14.2144930243,35,local_max_drop,mp-28158,K4Be3O5,Monoclinic,C2/c,15,0.0,-2.301597747416666,True,3.2088,False,2.486656674499181,24,351.8221128984704,14.659254704102933,314.6065946425286,0.8942206390913197,89.42206390913196
s-block,K-Be-O,K,Be,O,K2BeO2_27915_POSCAR,-0.1003254573428102,10.0332665125,-0.15101924775515,-0.0506937904123397,9.17327224,14.0465731175,35,local_max_drop,mp-27915,K2BeO2,Monoclinic,P2_1/c,14,0.0,-2.1003341254,True,2.9234,False,2.48597272935165,20,318.50525911949944,15.925262955974972,304.7861268038543,0.956926512442616,95.6926512442616
